Orthogroup	Syal	Praq
OG0000486	Syal.g_01276	Praq.g_01711
OG0000487	Syal.g_01282	Praq.g_01707
OG0000488	Syal.g_01286	Praq.g_01704
OG0000489	Syal.g_01298	Praq.g_01699
OG0000490	Syal.g_01307	Praq.g_01694
OG0000491	Syal.g_01308	Praq.g_01693
OG0000492	Syal.g_01310	Praq.g_01691
OG0000493	Syal.g_01311	Praq.g_01690
OG0000494	Syal.g_01312	Praq.g_01689
OG0000495	Syal.g_01313	Praq.g_01688
OG0000496	Syal.g_01314	Praq.g_01687
OG0000497	Syal.g_01315	Praq.g_01686
OG0000498	Syal.g_01316	Praq.g_01685
OG0000499	Syal.g_01317	Praq.g_01684
OG0000500	Syal.g_01318	Praq.g_01683
OG0000501	Syal.g_01321	Praq.g_01681
OG0000502	Syal.g_01328	Praq.g_01678
OG0000503	Syal.g_00347	Praq.g_01211
OG0000504	Syal.g_00349	Praq.g_01210
OG0000505	Syal.g_00350	Praq.g_01209
OG0000506	Syal.g_00352	Praq.g_01207
OG0000507	Syal.g_00358	Praq.g_01204
OG0000508	Syal.g_00362	Praq.g_01200
OG0000509	Syal.g_00364	Praq.g_01198
OG0000510	Syal.g_00365	Praq.g_01197
OG0000511	Syal.g_00366	Praq.g_01196
OG0000512	Syal.g_00368	Praq.g_01194
OG0000513	Syal.g_00551	Praq.g_01186
OG0000514	Syal.g_00539	Praq.g_01126
OG0000515	Syal.g_00538	Praq.g_01125
OG0000516	Syal.g_00534	Praq.g_01124
OG0000517	Syal.g_00526	Praq.g_01122
OG0000518	Syal.g_00514	Praq.g_01111
OG0000519	Syal.g_00513	Praq.g_01110
OG0000520	Syal.g_00512	Praq.g_01109
OG0000521	Syal.g_00502	Praq.g_00502
OG0000522	Syal.g_00500	Praq.g_00504
OG0000523	Syal.g_00499	Praq.g_00505
OG0000524	Syal.g_00491	Praq.g_00511
OG0000525	Syal.g_00473	Praq.g_00514
OG0000526	Syal.g_00471	Praq.g_00515
OG0000527	Syal.g_00465	Praq.g_00524
OG0000528	Syal.g_02893	Praq.g_00529
OG0000529	Syal.g_02898	Praq.g_00532
OG0000530	Syal.g_02901	Praq.g_00535
OG0000531	Syal.g_02902	Praq.g_00536
OG0000532	Syal.g_02905	Praq.g_00538
OG0000533	Syal.g_02907	Praq.g_00539
OG0000534	Syal.g_02908	Praq.g_00540
OG0000535	Syal.g_02909	Praq.g_00541
OG0000536	Syal.g_02910	Praq.g_00542
OG0000537	Syal.g_02911	Praq.g_00543
OG0000538	Syal.g_02923	Praq.g_01102
OG0000539	Syal.g_02924	Praq.g_01101
OG0000540	Syal.g_02925	Praq.g_01100
OG0000541	Syal.g_02926	Praq.g_01099
OG0000542	Syal.g_02929	Praq.g_01097
OG0000543	Syal.g_02931	Praq.g_01095
