Orthogroup	Syap	Prbk
OG0000541	Syap.g_00268	Prbk.g_01043
OG0000542	Syap.g_00264	Prbk.g_01046
OG0000543	Syap.g_00261	Prbk.g_01048
OG0000544	Syap.g_00260	Prbk.g_01049
OG0000545	Syap.g_00259	Prbk.g_01050
OG0000546	Syap.g_00256	Prbk.g_01052
OG0000547	Syap.g_00254	Prbk.g_01054
OG0000548	Syap.g_00253	Prbk.g_01055
OG0000549	Syap.g_00758	Prbk.g_01061
OG0000550	Syap.g_02747	Prbk.g_01066
OG0000551	Syap.g_02739	Prbk.g_01070
OG0000552	Syap.g_02738	Prbk.g_01071
OG0000553	Syap.g_02735	Prbk.g_01076
OG0000554	Syap.g_01450	Prbk.g_01081
OG0000555	Syap.g_01941	Prbk.g_01099
OG0000556	Syap.g_01933	Prbk.g_02686
OG0000557	Syap.g_01931	Prbk.g_01898
OG0000558	Syap.g_01147	Prbk.g_01895
OG0000560	Syap.g_00305	Prbk.g_01888
OG0000561	Syap.g_00304	Prbk.g_01887
OG0000562	Syap.g_00302	Prbk.g_01886
OG0000563	Syap.g_00301	Prbk.g_01885
OG0000564	Syap.g_00300	Prbk.g_01884
OG0000565	Syap.g_00296	Prbk.g_01881
OG0000566	Syap.g_00291	Prbk.g_01877
OG0000567	Syap.g_01297	Prbk.g_01873
OG0000568	Syap.g_01302	Prbk.g_01871
OG0000569	Syap.g_01303	Prbk.g_01104
OG0000570	Syap.g_01304	Prbk.g_01105
OG0000571	Syap.g_01307	Prbk.g_01108
OG0000573	Syap.g_00765	Prbk.g_01131
OG0000574	Syap.g_00759	Prbk.g_01132
OG0000575	Syap.g_00445	Prbk.g_01141
OG0000576	Syap.g_00450	Prbk.g_01143
OG0000577	Syap.g_00451	Prbk.g_01144
OG0000578	Syap.g_00452	Prbk.g_01145
OG0000579	Syap.g_00453	Prbk.g_01146
