Orthogroup	Prbb	Syaa
OG0000294	Prbb.g_01526	Syaa.g_00759
OG0000295	Prbb.g_01502	Syaa.g_00796
OG0000296	Prbb.g_01500	Syaa.g_00798
OG0000297	Prbb.g_01491	Syaa.g_01021
OG0000298	Prbb.g_01490	Syaa.g_01010
OG0000299	Prbb.g_01471	Syaa.g_00982
OG0000300	Prbb.g_01468	Syaa.g_00976
OG0000301	Prbb.g_01467	Syaa.g_00975
OG0000302	Prbb.g_01464	Syaa.g_00972
OG0000303	Prbb.g_01459	Syaa.g_00963
OG0000304	Prbb.g_01456	Syaa.g_00957
OG0000305	Prbb.g_01789	Syaa.g_00881
OG0000306	Prbb.g_00845	Syaa.g_00807
OG0000307	Prbb.g_01648	Syaa.g_02068
OG0000308	Prbb.g_01649	Syaa.g_02070
OG0000309	Prbb.g_01653	Syaa.g_02075
OG0000310	Prbb.g_01671	Syaa.g_01752
OG0000311	Prbb.g_01673	Syaa.g_01757
OG0000312	Prbb.g_01676	Syaa.g_01762
OG0000313	Prbb.g_01690	Syaa.g_01779
OG0000314	Prbb.g_01711	Syaa.g_01806
OG0000315	Prbb.g_01721	Syaa.g_01816
OG0000316	Prbb.g_01746	Syaa.g_00598
OG0000317	Prbb.g_01821	Syaa.g_00556
OG0000318	Prbb.g_01824	Syaa.g_00550
OG0000319	Prbb.g_01835	Syaa.g_00532
OG0000320	Prbb.g_01837	Syaa.g_00530
OG0000321	Prbb.g_01838	Syaa.g_00529
OG0000322	Prbb.g_01839	Syaa.g_00528
OG0000323	Prbb.g_01848	Syaa.g_00496
OG0000324	Prbb.g_01875	Syaa.g_00653
OG0000325	Prbb.g_01924	Syaa.g_02350
OG0000326	Prbb.g_01930	Syaa.g_02343
OG0000327	Prbb.g_01959	Syaa.g_02294
OG0000328	Prbb.g_01960	Syaa.g_02293
OG0000329	Prbb.g_01977	Syaa.g_02275
OG0000330	Prbb.g_01978	Syaa.g_02274
OG0000331	Prbb.g_01979	Syaa.g_02273
OG0000332	Prbb.g_01993	Syaa.g_02258
OG0000333	Prbb.g_01995	Syaa.g_02255
OG0000334	Prbb.g_02004	Syaa.g_02246
OG0000335	Prbb.g_02009	Syaa.g_02241
OG0000336	Prbb.g_02013	Syaa.g_02237
OG0000337	Prbb.g_02031	Syaa.g_00167
