Orthogroup	Prau	Prad
OG0000447	Prau.g_00215	Prad.g_01777
OG0000448	Prau.g_00216	Prad.g_01776
OG0000449	Prau.g_00217	Prad.g_01775
OG0000450	Prau.g_00218	Prad.g_01774
OG0000451	Prau.g_00219	Prad.g_01773
OG0000452	Prau.g_00222	Prad.g_01770
OG0000453	Prau.g_00223	Prad.g_01769
OG0000454	Prau.g_00224	Prad.g_01768
OG0000455	Prau.g_00225	Prad.g_01767
OG0000456	Prau.g_00226	Prad.g_01766
OG0000457	Prau.g_00227	Prad.g_01765
OG0000458	Prau.g_00228	Prad.g_01764
OG0000459	Prau.g_00229	Prad.g_01763
OG0000460	Prau.g_00236	Prad.g_01756
OG0000461	Prau.g_00244	Prad.g_01749
OG0000462	Prau.g_00246	Prad.g_01747
OG0000463	Prau.g_00247	Prad.g_01746
OG0000464	Prau.g_00248	Prad.g_01745
OG0000465	Prau.g_00249	Prad.g_01744
OG0000466	Prau.g_00252	Prad.g_01741
OG0000467	Prau.g_00253	Prad.g_01740
OG0000468	Prau.g_00255	Prad.g_01738
OG0000469	Prau.g_00264	Prad.g_01729
OG0000470	Prau.g_00266	Prad.g_01727
OG0000471	Prau.g_00267	Prad.g_01726
OG0000472	Prau.g_00268	Prad.g_01725
OG0000473	Prau.g_00270	Prad.g_01723
OG0000474	Prau.g_00271	Prad.g_01722
OG0000475	Prau.g_00272	Prad.g_01721
OG0000476	Prau.g_00273	Prad.g_01720
OG0000477	Prau.g_00277	Prad.g_01716
OG0000478	Prau.g_00278	Prad.g_01715
OG0000479	Prau.g_00279	Prad.g_01714
OG0000480	Prau.g_00284	Prad.g_01709
OG0000481	Prau.g_00286	Prad.g_01707
OG0000482	Prau.g_00287	Prad.g_01706
OG0000483	Prau.g_00290	Prad.g_01703
OG0000484	Prau.g_00291	Prad.g_01702
OG0000485	Prau.g_00292	Prad.g_01701
OG0000486	Prau.g_00293	Prad.g_01700
OG0000487	Prau.g_00297	Prad.g_01696
OG0000488	Prau.g_00300	Prad.g_01693
OG0000489	Prau.g_00305	Prad.g_01688
OG0000490	Prau.g_00310	Prad.g_01683
OG0000491	Prau.g_00311	Prad.g_01682
OG0000492	Prau.g_00313	Prad.g_01680
OG0000493	Prau.g_00314	Prad.g_01679
OG0000494	Prau.g_00315	Prad.g_01678
OG0000495	Prau.g_00316	Prad.g_01677
OG0000496	Prau.g_00317	Prad.g_01676
OG0000497	Prau.g_00318	Prad.g_01675
OG0000498	Prau.g_00319	Prad.g_01674
OG0000499	Prau.g_00320	Prad.g_01673
OG0000500	Prau.g_00321	Prad.g_01672
OG0000501	Prau.g_00323	Prad.g_01670
OG0000502	Prau.g_00326	Prad.g_01667
OG0000503	Prau.g_00336	Prad.g_01657
OG0000504	Prau.g_00337	Prad.g_01656
OG0000505	Prau.g_00338	Prad.g_01655
OG0000506	Prau.g_00340	Prad.g_01653
OG0000507	Prau.g_00343	Prad.g_01650
OG0000508	Prau.g_00347	Prad.g_01646
OG0000509	Prau.g_00349	Prad.g_01644
OG0000510	Prau.g_00350	Prad.g_01643
OG0000511	Prau.g_00351	Prad.g_01642
OG0000512	Prau.g_00353	Prad.g_00760
OG0000513	Prau.g_00360	Prad.g_00753
OG0000514	Prau.g_00472	Prad.g_00671
OG0000515	Prau.g_00473	Prad.g_00670
OG0000516	Prau.g_00474	Prad.g_00669
OG0000517	Prau.g_00476	Prad.g_00667
OG0000518	Prau.g_00487	Prad.g_00061
OG0000519	Prau.g_00488	Prad.g_00060
OG0000520	Prau.g_00489	Prad.g_00059
OG0000521	Prau.g_00494	Prad.g_00054
OG0000522	Prau.g_00496	Prad.g_00052
OG0000523	Prau.g_00497	Prad.g_00051
OG0000524	Prau.g_00503	Prad.g_00045
OG0000525	Prau.g_00506	Prad.g_00042
OG0000526	Prau.g_00507	Prad.g_00041
OG0000527	Prau.g_00514	Prad.g_00034
OG0000528	Prau.g_00519	Prad.g_00029
OG0000529	Prau.g_00522	Prad.g_00026
OG0000530	Prau.g_00525	Prad.g_00023
OG0000531	Prau.g_00526	Prad.g_00022
OG0000532	Prau.g_00528	Prad.g_00020
OG0000533	Prau.g_00529	Prad.g_00019
OG0000534	Prau.g_00530	Prad.g_00018
OG0000535	Prau.g_00531	Prad.g_00017
OG0000536	Prau.g_00532	Prad.g_00016
OG0000537	Prau.g_00533	Prad.g_00015
OG0000538	Prau.g_00541	Prad.g_00129
OG0000539	Prau.g_00542	Prad.g_00128
OG0000540	Prau.g_00543	Prad.g_00127
OG0000541	Prau.g_00544	Prad.g_00126
OG0000542	Prau.g_00546	Prad.g_00124
OG0000543	Prau.g_00548	Prad.g_00122
OG0000544	Prau.g_00549	Prad.g_00121
OG0000545	Prau.g_00551	Prad.g_00119
OG0000546	Prau.g_00554	Prad.g_00116
OG0000547	Prau.g_00556	Prad.g_00114
OG0000548	Prau.g_00557	Prad.g_00113
OG0000549	Prau.g_00559	Prad.g_00111
