Orthogroup	Prbn	Syaf
OG0000391	Prbn.g_01301	Syaf.g_00878
OG0000392	Prbn.g_01297	Syaf.g_00872
OG0000393	Prbn.g_01294	Syaf.g_00870
OG0000394	Prbn.g_01293	Syaf.g_00869
OG0000395	Prbn.g_01292	Syaf.g_00868
OG0000396	Prbn.g_01290	Syaf.g_00865
OG0000397	Prbn.g_01288	Syaf.g_00863
OG0000398	Prbn.g_01285	Syaf.g_00858
OG0000399	Prbn.g_01284	Syaf.g_00857
OG0000400	Prbn.g_01283	Syaf.g_00856
OG0000401	Prbn.g_01282	Syaf.g_00855
OG0000402	Prbn.g_01356	Syaf.g_00852
OG0000403	Prbn.g_01280	Syaf.g_00851
OG0000404	Prbn.g_01279	Syaf.g_00850
OG0000405	Prbn.g_01275	Syaf.g_00835
OG0000406	Prbn.g_01267	Syaf.g_00831
OG0000407	Prbn.g_01266	Syaf.g_00830
OG0000408	Prbn.g_01264	Syaf.g_00828
OG0000409	Prbn.g_01262	Syaf.g_00826
OG0000410	Prbn.g_01261	Syaf.g_00825
OG0000411	Prbn.g_01260	Syaf.g_00824
OG0000412	Prbn.g_01259	Syaf.g_00823
OG0000413	Prbn.g_01257	Syaf.g_00821
OG0000414	Prbn.g_01256	Syaf.g_00820
OG0000415	Prbn.g_01255	Syaf.g_00819
OG0000416	Prbn.g_01254	Syaf.g_00818
OG0000417	Prbn.g_01253	Syaf.g_00817
OG0000418	Prbn.g_01248	Syaf.g_00812
OG0000419	Prbn.g_01246	Syaf.g_00810
OG0000420	Prbn.g_01245	Syaf.g_00808
OG0000421	Prbn.g_00381	Syaf.g_00803
OG0000422	Prbn.g_00380	Syaf.g_00802
OG0000423	Prbn.g_00379	Syaf.g_00801
OG0000424	Prbn.g_00378	Syaf.g_00800
OG0000425	Prbn.g_00377	Syaf.g_00799
OG0000426	Prbn.g_00376	Syaf.g_00798
OG0000427	Prbn.g_00375	Syaf.g_00797
OG0000428	Prbn.g_00373	Syaf.g_00794
OG0000429	Prbn.g_00372	Syaf.g_00792
OG0000430	Prbn.g_00371	Syaf.g_00790
OG0000431	Prbn.g_00369	Syaf.g_00786
OG0000432	Prbn.g_00365	Syaf.g_00779
OG0000433	Prbn.g_00364	Syaf.g_00777
OG0000434	Prbn.g_00363	Syaf.g_00776
OG0000435	Prbn.g_00362	Syaf.g_00772
OG0000436	Prbn.g_00357	Syaf.g_00767
OG0000437	Prbn.g_00356	Syaf.g_00766
OG0000438	Prbn.g_00355	Syaf.g_00765
OG0000439	Prbn.g_00353	Syaf.g_00763
OG0000440	Prbn.g_00352	Syaf.g_00762
OG0000441	Prbn.g_00349	Syaf.g_00756
OG0000442	Prbn.g_00348	Syaf.g_00743
OG0000443	Prbn.g_00347	Syaf.g_00739
OG0000444	Prbn.g_00341	Syaf.g_00733
OG0000445	Prbn.g_00340	Syaf.g_00729
OG0000446	Prbn.g_00339	Syaf.g_00728
OG0000447	Prbn.g_00338	Syaf.g_00725
OG0000448	Prbn.g_00337	Syaf.g_00724
OG0000449	Prbn.g_00336	Syaf.g_00723
OG0000450	Prbn.g_00335	Syaf.g_00717
OG0000451	Prbn.g_00334	Syaf.g_00716
OG0000452	Prbn.g_00331	Syaf.g_00712
OG0000453	Prbn.g_00330	Syaf.g_00711
OG0000454	Prbn.g_00329	Syaf.g_00710
OG0000455	Prbn.g_00328	Syaf.g_00709
OG0000456	Prbn.g_00327	Syaf.g_00708
OG0000457	Prbn.g_00325	Syaf.g_00706
OG0000458	Prbn.g_00324	Syaf.g_00705
OG0000459	Prbn.g_00323	Syaf.g_00704
OG0000460	Prbn.g_00315	Syaf.g_02789
OG0000461	Prbn.g_00307	Syaf.g_00183
OG0000462	Prbn.g_00305	Syaf.g_00186
OG0000463	Prbn.g_00304	Syaf.g_00187
OG0000464	Prbn.g_00012	Syaf.g_00188
OG0000465	Prbn.g_00013	Syaf.g_00190
OG0000466	Prbn.g_00016	Syaf.g_00194
OG0000467	Prbn.g_00017	Syaf.g_00196
OG0000468	Prbn.g_00020	Syaf.g_00206
OG0000469	Prbn.g_00028	Syaf.g_00220
OG0000470	Prbn.g_00030	Syaf.g_00222
OG0000471	Prbn.g_00031	Syaf.g_00223
OG0000472	Prbn.g_00033	Syaf.g_00225
OG0000473	Prbn.g_00035	Syaf.g_00227
OG0000474	Prbn.g_00036	Syaf.g_00228
OG0000475	Prbn.g_00037	Syaf.g_00229
OG0000476	Prbn.g_00039	Syaf.g_00231
OG0000477	Prbn.g_00042	Syaf.g_00237
OG0000478	Prbn.g_00043	Syaf.g_00238
OG0000479	Prbn.g_00044	Syaf.g_00239
OG0000480	Prbn.g_00049	Syaf.g_00247
OG0000481	Prbn.g_00052	Syaf.g_00249
OG0000482	Prbn.g_00053	Syaf.g_00250
OG0000483	Prbn.g_00056	Syaf.g_00254
OG0000484	Prbn.g_00057	Syaf.g_00255
OG0000485	Prbn.g_00059	Syaf.g_00256
OG0000486	Prbn.g_00060	Syaf.g_00257
OG0000487	Prbn.g_00063	Syaf.g_00263
OG0000488	Prbn.g_00066	Syaf.g_00267
OG0000489	Prbn.g_00071	Syaf.g_00274
OG0000490	Prbn.g_00075	Syaf.g_00284
OG0000491	Prbn.g_00076	Syaf.g_00285
OG0000492	Prbn.g_00078	Syaf.g_00288
OG0000493	Prbn.g_00079	Syaf.g_00289
OG0000494	Prbn.g_00080	Syaf.g_00290
OG0000495	Prbn.g_00081	Syaf.g_00291
OG0000496	Prbn.g_00082	Syaf.g_00292
OG0000497	Prbn.g_00083	Syaf.g_00293
OG0000498	Prbn.g_00084	Syaf.g_00294
OG0000499	Prbn.g_00085	Syaf.g_00295
OG0000500	Prbn.g_00086	Syaf.g_00296
OG0000501	Prbn.g_00087	Syaf.g_00299
OG0000502	Prbn.g_00090	Syaf.g_00319
OG0000503	Prbn.g_00105	Syaf.g_00023
OG0000504	Prbn.g_00107	Syaf.g_00021
OG0000505	Prbn.g_00108	Syaf.g_00020
OG0000506	Prbn.g_00109	Syaf.g_00018
OG0000507	Prbn.g_00112	Syaf.g_00012
OG0000508	Prbn.g_00116	Syaf.g_00008
OG0000509	Prbn.g_00118	Syaf.g_00006
OG0000510	Prbn.g_00119	Syaf.g_00005
OG0000511	Prbn.g_00120	Syaf.g_00004
OG0000512	Prbn.g_00122	Syaf.g_00002
OG0000513	Prbn.g_00693	Syaf.g_02803
OG0000514	Prbn.g_00682	Syaf.g_02796
OG0000515	Prbn.g_00681	Syaf.g_02795
OG0000516	Prbn.g_00680	Syaf.g_01219
OG0000517	Prbn.g_00678	Syaf.g_01213
OG0000518	Prbn.g_00667	Syaf.g_01230
OG0000519	Prbn.g_00666	Syaf.g_01231
OG0000520	Prbn.g_00665	Syaf.g_01235
OG0000521	Prbn.g_00657	Syaf.g_02542
OG0000522	Prbn.g_00655	Syaf.g_02538
OG0000523	Prbn.g_00654	Syaf.g_02537
OG0000524	Prbn.g_00649	Syaf.g_02531
OG0000525	Prbn.g_00645	Syaf.g_02507
OG0000526	Prbn.g_00644	Syaf.g_02504
OG0000527	Prbn.g_00641	Syaf.g_02500
OG0000528	Prbn.g_00636	Syaf.g_02728
OG0000529	Prbn.g_00633	Syaf.g_02720
OG0000530	Prbn.g_00630	Syaf.g_02717
OG0000531	Prbn.g_00629	Syaf.g_02716
OG0000532	Prbn.g_00627	Syaf.g_02713
OG0000533	Prbn.g_00626	Syaf.g_02712
OG0000534	Prbn.g_00625	Syaf.g_02711
OG0000535	Prbn.g_00624	Syaf.g_02710
OG0000536	Prbn.g_00623	Syaf.g_02709
OG0000537	Prbn.g_00622	Syaf.g_02708
OG0000538	Prbn.g_00613	Syaf.g_02697
OG0000539	Prbn.g_00612	Syaf.g_02696
