Orthogroup	Prav	Syar
OG0000510	Prav.g_01994	Syar.g_01144
OG0000511	Prav.g_01995	Syar.g_01145
OG0000512	Prav.g_01997	Syar.g_01147
OG0000513	Prav.g_00977	Syar.g_01166
OG0000514	Prav.g_01030	Syar.g_01169
OG0000515	Prav.g_01031	Syar.g_01170
OG0000516	Prav.g_01032	Syar.g_01172
OG0000517	Prav.g_01034	Syar.g_01176
OG0000518	Prav.g_01045	Syar.g_02868
OG0000519	Prav.g_01046	Syar.g_02867
OG0000520	Prav.g_01047	Syar.g_02866
OG0000521	Prav.g_01052	Syar.g_01419
OG0000522	Prav.g_01053	Syar.g_01421
OG0000523	Prav.g_01054	Syar.g_01422
OG0000524	Prav.g_01059	Syar.g_01244
OG0000525	Prav.g_01062	Syar.g_01263
OG0000526	Prav.g_01063	Syar.g_01266
OG0000527	Prav.g_01071	Syar.g_01271
OG0000528	Prav.g_01076	Syar.g_01466
OG0000529	Prav.g_01079	Syar.g_01470
OG0000530	Prav.g_01082	Syar.g_01473
OG0000531	Prav.g_01083	Syar.g_01474
OG0000532	Prav.g_01085	Syar.g_01477
OG0000533	Prav.g_01086	Syar.g_01479
OG0000534	Prav.g_01087	Syar.g_01480
OG0000535	Prav.g_01088	Syar.g_01481
OG0000536	Prav.g_01089	Syar.g_01482
OG0000537	Prav.g_01090	Syar.g_01483
OG0000538	Prav.g_01098	Syar.g_01496
OG0000539	Prav.g_01099	Syar.g_01497
OG0000540	Prav.g_01100	Syar.g_01498
OG0000541	Prav.g_01101	Syar.g_01499
OG0000542	Prav.g_01103	Syar.g_01502
OG0000543	Prav.g_01105	Syar.g_01504
OG0000544	Prav.g_01106	Syar.g_01505
OG0000545	Prav.g_01108	Syar.g_01507
OG0000546	Prav.g_01111	Syar.g_01509
OG0000547	Prav.g_01113	Syar.g_01511
OG0000548	Prav.g_01114	Syar.g_01512
OG0000549	Prav.g_01116	Syar.g_02693
OG0000550	Prav.g_01121	Syar.g_02689
OG0000551	Prav.g_01125	Syar.g_02684
OG0000552	Prav.g_01126	Syar.g_02683
OG0000553	Prav.g_01127	Syar.g_02679
OG0000554	Prav.g_01132	Syar.g_02352
OG0000555	Prav.g_01140	Syar.g_02336
OG0000556	Prav.g_01142	Syar.g_02332
OG0000557	Prav.g_01143	Syar.g_02328
OG0000558	Prav.g_01145	Syar.g_02326
OG0000559	Prav.g_01149	Syar.g_02322
OG0000560	Prav.g_01152	Syar.g_02320
OG0000561	Prav.g_01153	Syar.g_02319
OG0000562	Prav.g_01154	Syar.g_02318
OG0000563	Prav.g_01155	Syar.g_02317
OG0000564	Prav.g_01156	Syar.g_02316
OG0000565	Prav.g_01159	Syar.g_02312
OG0000566	Prav.g_01161	Syar.g_02308
OG0000567	Prav.g_01165	Syar.g_02304
OG0000568	Prav.g_01166	Syar.g_02302
