Orthogroup	Syar	Syaf
OG0000398	Syar.g_00060	Syaf.g_00858
OG0000399	Syar.g_00061	Syaf.g_00857
OG0000400	Syar.g_00062	Syaf.g_00856
OG0000401	Syar.g_00063	Syaf.g_00855
OG0000402	Syar.g_00065	Syaf.g_00852
OG0000403	Syar.g_00066	Syaf.g_00851
OG0000404	Syar.g_00067	Syaf.g_00850
OG0000405	Syar.g_00076	Syaf.g_00835
OG0000406	Syar.g_00080	Syaf.g_00831
OG0000407	Syar.g_00081	Syaf.g_00830
OG0000408	Syar.g_00083	Syaf.g_00828
OG0000409	Syar.g_00085	Syaf.g_00826
OG0000410	Syar.g_00086	Syaf.g_00825
OG0000411	Syar.g_00087	Syaf.g_00824
OG0000412	Syar.g_00088	Syaf.g_00823
OG0000413	Syar.g_00090	Syaf.g_00821
OG0000414	Syar.g_00091, Syar.g_03179	Syaf.g_00820
OG0000415	Syar.g_00092	Syaf.g_00819
OG0000416	Syar.g_00093	Syaf.g_00818
OG0000417	Syar.g_00095	Syaf.g_00817
OG0000418	Syar.g_00100	Syaf.g_00812
OG0000419	Syar.g_00102	Syaf.g_00810
OG0000420	Syar.g_00104	Syaf.g_00808
OG0000421	Syar.g_00109	Syaf.g_00803
OG0000422	Syar.g_00110	Syaf.g_00802
OG0000423	Syar.g_00111	Syaf.g_00801
OG0000424	Syar.g_00112	Syaf.g_00800
OG0000425	Syar.g_00113	Syaf.g_00799
OG0000426	Syar.g_00114	Syaf.g_00798
OG0000427	Syar.g_00115	Syaf.g_00797
OG0000428	Syar.g_00118	Syaf.g_00794
OG0000429	Syar.g_00121	Syaf.g_00792
OG0000430	Syar.g_00123	Syaf.g_00790
OG0000431	Syar.g_00127	Syaf.g_00786
OG0000432	Syar.g_01009	Syaf.g_00779
OG0000433	Syar.g_01007	Syaf.g_00777
OG0000434	Syar.g_01006	Syaf.g_00776
OG0000435	Syar.g_01003	Syaf.g_00772
OG0000436	Syar.g_00994	Syaf.g_00767
