Orthogroup	Syar	Prac
OG0000383	Syar.g_03074	Prac.g_01848
OG0000384	Syar.g_03075	Prac.g_01847
OG0000385	Syar.g_03076	Prac.g_01846
OG0000386	Syar.g_03077	Prac.g_01845
OG0000387	Syar.g_03109	Prac.g_01832
OG0000388	Syar.g_03148, Syar.g_03113	Prac.g_01829
OG0000389	Syar.g_03118	Prac.g_01825
OG0000390	Syar.g_00033	Prac.g_01818
OG0000391	Syar.g_00038	Prac.g_01815
OG0000392	Syar.g_00045	Prac.g_01811
OG0000393	Syar.g_00048	Prac.g_01809
OG0000394	Syar.g_00049	Prac.g_01808
OG0000395	Syar.g_00050	Prac.g_01807
OG0000396	Syar.g_00053	Prac.g_01804
OG0000397	Syar.g_00055	Prac.g_01802
OG0000398	Syar.g_00060	Prac.g_01800
OG0000399	Syar.g_00061	Prac.g_01799
OG0000400	Syar.g_00062	Prac.g_01798
OG0000401	Syar.g_00063	Prac.g_01797
OG0000402	Syar.g_00065	Prac.g_01795
OG0000403	Syar.g_00066	Prac.g_01794
OG0000404	Syar.g_00067	Prac.g_01793
OG0000405	Syar.g_00076	Prac.g_01789
OG0000406	Syar.g_00080	Prac.g_01783
OG0000407	Syar.g_00081	Prac.g_01782
OG0000408	Syar.g_00083	Prac.g_01780
OG0000409	Syar.g_00085	Prac.g_01778
OG0000410	Syar.g_00086	Prac.g_01777
OG0000411	Syar.g_00087	Prac.g_01776
OG0000412	Syar.g_00088	Prac.g_01775
OG0000413	Syar.g_00090	Prac.g_01774
OG0000414	Syar.g_00091, Syar.g_03179	Prac.g_01590, Prac.g_01773
OG0000415	Syar.g_00092	Prac.g_01772
OG0000416	Syar.g_00093	Prac.g_01771
OG0000417	Syar.g_00095	Prac.g_01770
OG0000418	Syar.g_00100	Prac.g_01765
OG0000419	Syar.g_00102	Prac.g_01763
OG0000420	Syar.g_00104	Prac.g_01762
OG0000421	Syar.g_00109	Prac.g_01757
OG0000422	Syar.g_00110	Prac.g_01756
OG0000423	Syar.g_00111	Prac.g_01755
OG0000424	Syar.g_00112	Prac.g_01754
OG0000425	Syar.g_00113	Prac.g_01753
OG0000426	Syar.g_00114	Prac.g_01752
OG0000427	Syar.g_00115	Prac.g_01751
OG0000428	Syar.g_00118	Prac.g_01749
OG0000429	Syar.g_00121	Prac.g_01748
OG0000430	Syar.g_00123	Prac.g_01747
OG0000431	Syar.g_00127	Prac.g_01745
OG0000432	Syar.g_01009	Prac.g_01742
OG0000433	Syar.g_01007	Prac.g_01741
OG0000434	Syar.g_01006	Prac.g_01740
OG0000435	Syar.g_01003	Prac.g_01739
OG0000436	Syar.g_00994	Prac.g_01734
OG0000437	Syar.g_00993	Prac.g_01733
OG0000438	Syar.g_00992	Prac.g_01732
OG0000439	Syar.g_00990	Prac.g_01730
OG0000440	Syar.g_00989	Prac.g_01729
OG0000441	Syar.g_00986	Prac.g_01726
OG0000442	Syar.g_00977	Prac.g_01725
OG0000443	Syar.g_00964	Prac.g_01724
OG0000444	Syar.g_00954	Prac.g_01719
OG0000445	Syar.g_00953	Prac.g_01718
OG0000446	Syar.g_00951	Prac.g_01717
OG0000447	Syar.g_00948	Prac.g_01716
OG0000448	Syar.g_00947	Prac.g_01715
OG0000449	Syar.g_00946	Prac.g_01714
OG0000450	Syar.g_00939	Prac.g_01713
OG0000451	Syar.g_00938	Prac.g_01712
OG0000452	Syar.g_00934	Prac.g_01709
OG0000453	Syar.g_00933	Prac.g_01708
OG0000454	Syar.g_00932	Prac.g_01707
OG0000455	Syar.g_00931	Prac.g_01706
OG0000456	Syar.g_00930	Prac.g_01705
OG0000457	Syar.g_00928	Prac.g_01704
OG0000458	Syar.g_00918	Prac.g_01703
OG0000459	Syar.g_00917	Prac.g_01702
OG0000460	Syar.g_03024	Prac.g_01695
OG0000461	Syar.g_00153	Prac.g_01688
OG0000462	Syar.g_00155	Prac.g_01686
OG0000463	Syar.g_00156	Prac.g_01685
OG0000464	Syar.g_00157	Prac.g_01684
OG0000465	Syar.g_00159	Prac.g_01683
OG0000466	Syar.g_00164	Prac.g_01680
OG0000467	Syar.g_00165	Prac.g_01679
OG0000468	Syar.g_00170	Prac.g_01678
OG0000469	Syar.g_00203	Prac.g_01669
OG0000470	Syar.g_00206	Prac.g_01667
OG0000471	Syar.g_00207	Prac.g_01666
OG0000472	Syar.g_00208	Prac.g_01665
OG0000473	Syar.g_00210	Prac.g_01663
OG0000474	Syar.g_00211	Prac.g_01662
OG0000475	Syar.g_00212	Prac.g_01661
OG0000476	Syar.g_00214	Prac.g_01660
OG0000477	Syar.g_00219	Prac.g_01656
OG0000478	Syar.g_00220	Prac.g_01655
OG0000479	Syar.g_00221	Prac.g_01654
OG0000480	Syar.g_00228	Prac.g_01649
OG0000481	Syar.g_00230	Prac.g_01647
OG0000482	Syar.g_00231	Prac.g_01646
OG0000483	Syar.g_00235	Prac.g_01643
OG0000484	Syar.g_00236	Prac.g_01642
OG0000485	Syar.g_00237	Prac.g_01641
OG0000486	Syar.g_00238, Syar.g_00024	Prac.g_01640
OG0000487	Syar.g_00245	Prac.g_01636
OG0000488	Syar.g_00853	Prac.g_01633
OG0000489	Syar.g_00833	Prac.g_01628
OG0000490	Syar.g_00823	Prac.g_01623
OG0000491	Syar.g_00822	Prac.g_01622
OG0000492	Syar.g_00727	Prac.g_01620
OG0000493	Syar.g_00726	Prac.g_01619
OG0000494	Syar.g_00725	Prac.g_01618
OG0000495	Syar.g_00724	Prac.g_01617
OG0000496	Syar.g_00723	Prac.g_01616
OG0000497	Syar.g_00722	Prac.g_01615
OG0000498	Syar.g_00721	Prac.g_01614
OG0000499	Syar.g_00720	Prac.g_01613
OG0000500	Syar.g_00719	Prac.g_01612
OG0000501	Syar.g_00716	Prac.g_01610
OG0000502	Syar.g_00275	Prac.g_01607
OG0000503	Syar.g_01118	Prac.g_01200
OG0000504	Syar.g_01120	Prac.g_01199
OG0000505	Syar.g_01121	Prac.g_01198
OG0000506	Syar.g_01123	Prac.g_01196
OG0000507	Syar.g_01129	Prac.g_01193
OG0000508	Syar.g_01141	Prac.g_01189
OG0000509	Syar.g_01143	Prac.g_01187
OG0000510	Syar.g_01144	Prac.g_01186
OG0000511	Syar.g_01145	Prac.g_01185
OG0000512	Syar.g_01147	Prac.g_01183
OG0000513	Syar.g_01166	Prac.g_01176
OG0000514	Syar.g_01169	Prac.g_01116
OG0000515	Syar.g_01170	Prac.g_01115
OG0000516	Syar.g_01172	Prac.g_01114
OG0000517	Syar.g_01176	Prac.g_01112
OG0000518	Syar.g_02868	Prac.g_01101
OG0000519	Syar.g_02867	Prac.g_01100
OG0000520	Syar.g_02866	Prac.g_01099
OG0000521	Syar.g_01419	Prac.g_01094
OG0000522	Syar.g_01421	Prac.g_01092
OG0000523	Syar.g_01422	Prac.g_01091
OG0000524	Syar.g_01244	Prac.g_01084
OG0000525	Syar.g_01263	Prac.g_01081
OG0000526	Syar.g_01266	Prac.g_01080
