Orthogroup	Syar	Prbl
OG0000492	Syar.g_00727	Prbl.g_00909
OG0000493	Syar.g_00726	Prbl.g_00908
OG0000494	Syar.g_00725	Prbl.g_00907
OG0000495	Syar.g_00724	Prbl.g_00906
OG0000496	Syar.g_00723	Prbl.g_00905
OG0000497	Syar.g_00722	Prbl.g_00904
OG0000498	Syar.g_00721	Prbl.g_00903
OG0000499	Syar.g_00720	Prbl.g_00902
OG0000500	Syar.g_00719	Prbl.g_00901
OG0000501	Syar.g_00716	Prbl.g_00898
OG0000502	Syar.g_00275	Prbl.g_00886
OG0000503	Syar.g_01118	Prbl.g_01201
OG0000504	Syar.g_01120	Prbl.g_01203
OG0000505	Syar.g_01121	Prbl.g_01204
OG0000506	Syar.g_01123	Prbl.g_01206
OG0000507	Syar.g_01129	Prbl.g_01210
OG0000508	Syar.g_01141	Prbl.g_01217
OG0000509	Syar.g_01143	Prbl.g_01219
OG0000510	Syar.g_01144	Prbl.g_01220
OG0000511	Syar.g_01145	Prbl.g_01221
OG0000512	Syar.g_01147	Prbl.g_01223
OG0000513	Syar.g_01166	Prbl.g_02678
OG0000514	Syar.g_01169	Prbl.g_00676
OG0000515	Syar.g_01170	Prbl.g_00675
OG0000516	Syar.g_01172	Prbl.g_00663
OG0000517	Syar.g_01176	Prbl.g_00653
OG0000518	Syar.g_02868	Prbl.g_00641
OG0000519	Syar.g_02867	Prbl.g_00640
OG0000520	Syar.g_02866	Prbl.g_00639
OG0000521	Syar.g_01419	Prbl.g_00625
OG0000522	Syar.g_01421	Prbl.g_00623
OG0000523	Syar.g_01422	Prbl.g_00622
OG0000524	Syar.g_01244	Prbl.g_01364
OG0000525	Syar.g_01263	Prbl.g_01348
OG0000526	Syar.g_01266	Prbl.g_01346
OG0000527	Syar.g_01271	Prbl.g_01342
OG0000528	Syar.g_01466	Prbl.g_00506
OG0000529	Syar.g_01470	Prbl.g_00512
OG0000530	Syar.g_01473	Prbl.g_00515
OG0000531	Syar.g_01474	Prbl.g_00516
OG0000532	Syar.g_01477	Prbl.g_00519
OG0000533	Syar.g_01479	Prbl.g_00521
OG0000534	Syar.g_01480	Prbl.g_00522
OG0000535	Syar.g_01481	Prbl.g_00523
OG0000536	Syar.g_01482	Prbl.g_00524
OG0000537	Syar.g_01483	Prbl.g_00525
OG0000538	Syar.g_01496	Prbl.g_00536
OG0000539	Syar.g_01497	Prbl.g_00806
OG0000540	Syar.g_01498	Prbl.g_00805
OG0000541	Syar.g_01499	Prbl.g_00804
OG0000542	Syar.g_01502	Prbl.g_00801
