Orthogroup	Syak	Syaf
OG0000518	Syak.g_01180	Syaf.g_01230
OG0000519	Syak.g_01179	Syaf.g_01231
OG0000520	Syak.g_01178	Syaf.g_01235
OG0000521	Syak.g_01167	Syaf.g_02542
OG0000522	Syak.g_01163	Syaf.g_02538
OG0000523	Syak.g_01162	Syaf.g_02537
OG0000524	Syak.g_01149	Syaf.g_02531
OG0000525	Syak.g_01130	Syaf.g_02507
OG0000526	Syak.g_01127	Syaf.g_02504
OG0000527	Syak.g_01120	Syaf.g_02500
OG0000528	Syak.g_02570	Syaf.g_02728
OG0000529	Syak.g_02575	Syaf.g_02720
OG0000530	Syak.g_02578	Syaf.g_02717
OG0000531	Syak.g_02579	Syaf.g_02716
OG0000532	Syak.g_02582	Syaf.g_02713
OG0000533	Syak.g_02584	Syaf.g_02712
OG0000534	Syak.g_02585	Syaf.g_02711
OG0000535	Syak.g_02586	Syaf.g_02710
OG0000536	Syak.g_02587	Syaf.g_02709
OG0000537	Syak.g_02588	Syaf.g_02708
OG0000538	Syak.g_02600	Syaf.g_02697
OG0000539	Syak.g_02601	Syaf.g_02696
OG0000540	Syak.g_02602	Syaf.g_02695
OG0000541	Syak.g_02603	Syaf.g_02694
OG0000542	Syak.g_02606	Syaf.g_02691
OG0000543	Syak.g_02608	Syaf.g_02689
OG0000544	Syak.g_02609	Syaf.g_02688
OG0000545	Syak.g_02611	Syaf.g_02686
OG0000546	Syak.g_02613	Syaf.g_02684
OG0000547	Syak.g_02615	Syaf.g_02682
OG0000548	Syak.g_02616	Syaf.g_02681
OG0000549	Syak.g_02622	Syaf.g_02676
OG0000550	Syak.g_02626	Syaf.g_02671
OG0000551	Syak.g_02631	Syaf.g_02666
