Orthogroup	Syak	Prbc
OG0000433	Syak.g_02073	Prbc.g_00382
OG0000434	Syak.g_02072	Prbc.g_00381
OG0000435	Syak.g_02071	Prbc.g_00380
OG0000436	Syak.g_02064	Prbc.g_00375
OG0000437	Syak.g_02063	Prbc.g_00374
OG0000438	Syak.g_02062	Prbc.g_00373
OG0000439	Syak.g_02060	Prbc.g_00371
OG0000440	Syak.g_02059	Prbc.g_00370
OG0000441	Syak.g_02053	Prbc.g_00368
OG0000442	Syak.g_02043	Prbc.g_00367
OG0000443	Syak.g_02041	Prbc.g_00366
OG0000444	Syak.g_02022	Prbc.g_00361
OG0000445	Syak.g_02015	Prbc.g_00360
OG0000446	Syak.g_02013	Prbc.g_00358
OG0000447	Syak.g_02006	Prbc.g_00357
OG0000448	Syak.g_02005	Prbc.g_00356
OG0000449	Syak.g_02004	Prbc.g_00355
OG0000450	Syak.g_01998	Prbc.g_00354
OG0000451	Syak.g_01997	Prbc.g_00353
OG0000452	Syak.g_01993	Prbc.g_00350
OG0000453	Syak.g_01992	Prbc.g_00349
OG0000454	Syak.g_01991	Prbc.g_00348
OG0000455	Syak.g_01990	Prbc.g_00347
OG0000456	Syak.g_01989	Prbc.g_00346
OG0000457	Syak.g_01987	Prbc.g_00345
OG0000458	Syak.g_01986	Prbc.g_00344
OG0000459	Syak.g_01985	Prbc.g_00343
OG0000460	Syak.g_02303	Prbc.g_00335
OG0000461	Syak.g_01402	Prbc.g_01140
OG0000462	Syak.g_01405	Prbc.g_01142
OG0000463	Syak.g_01406	Prbc.g_01143
OG0000464	Syak.g_01407	Prbc.g_01144
OG0000465	Syak.g_01409	Prbc.g_01145
OG0000466	Syak.g_01414	Prbc.g_01146
OG0000467	Syak.g_01416	Prbc.g_01147
OG0000468	Syak.g_01421	Prbc.g_01149
OG0000469	Syak.g_01436	Prbc.g_01156
OG0000470	Syak.g_01438	Prbc.g_01158
OG0000471	Syak.g_01439	Prbc.g_01159
