Orthogroup	Pram	Syaq
OG0000505	Pram.g_00331	Syaq.g_00556
OG0000506	Pram.g_00332	Syaq.g_00554
OG0000507	Pram.g_00336	Syaq.g_00548
OG0000508	Pram.g_00340	Syaq.g_00544
OG0000509	Pram.g_00342	Syaq.g_00542
OG0000510	Pram.g_00343	Syaq.g_00538
OG0000511	Pram.g_00344	Syaq.g_00537
OG0000512	Pram.g_00346	Syaq.g_00535
OG0000513	Pram.g_00355	Syaq.g_00525
OG0000514	Pram.g_00366	Syaq.g_00514
OG0000515	Pram.g_00367	Syaq.g_00513
OG0000516	Pram.g_00368	Syaq.g_00509
OG0000517	Pram.g_00370	Syaq.g_00502
OG0000518	Pram.g_00381	Syaq.g_00490
OG0000519	Pram.g_00382	Syaq.g_00489
OG0000520	Pram.g_00383	Syaq.g_00488
OG0000521	Pram.g_00393	Syaq.g_00477
OG0000522	Pram.g_00395	Syaq.g_00475
OG0000523	Pram.g_00396	Syaq.g_00474
OG0000524	Pram.g_00400	Syaq.g_00469
OG0000525	Pram.g_00404	Syaq.g_00450
OG0000526	Pram.g_00406	Syaq.g_00448
OG0000527	Pram.g_00409	Syaq.g_00444
OG0000528	Pram.g_00414	Syaq.g_01768
OG0000529	Pram.g_00417	Syaq.g_01773
OG0000530	Pram.g_00420	Syaq.g_01776
OG0000531	Pram.g_00421	Syaq.g_01777
OG0000532	Pram.g_00423	Syaq.g_01780
OG0000533	Pram.g_00424	Syaq.g_01782
OG0000534	Pram.g_00425	Syaq.g_01783
OG0000535	Pram.g_00426	Syaq.g_01784
OG0000536	Pram.g_00427	Syaq.g_01785
OG0000537	Pram.g_00428	Syaq.g_01786
OG0000538	Pram.g_00438	Syaq.g_01798
OG0000539	Pram.g_00439	Syaq.g_01799
OG0000540	Pram.g_00440	Syaq.g_01800
OG0000541	Pram.g_00441	Syaq.g_01801
OG0000542	Pram.g_00442	Syaq.g_01804
OG0000543	Pram.g_00444	Syaq.g_01806
OG0000544	Pram.g_00445	Syaq.g_02567
OG0000545	Pram.g_00447	Syaq.g_01809
OG0000546	Pram.g_00450	Syaq.g_01811
OG0000547	Pram.g_00452	Syaq.g_01813
OG0000548	Pram.g_00453	Syaq.g_01814
OG0000549	Pram.g_00456	Syaq.g_01819
OG0000550	Pram.g_00461	Syaq.g_01824
OG0000551	Pram.g_00464	Syaq.g_01829
OG0000552	Pram.g_00465	Syaq.g_01830
OG0000553	Pram.g_00466	Syaq.g_01834
OG0000554	Pram.g_00472	Syaq.g_01839
OG0000555	Pram.g_00479	Syaq.g_01857
OG0000556	Pram.g_00481	Syaq.g_01925
OG0000557	Pram.g_00482	Syaq.g_01927
OG0000558	Pram.g_00484	Syaq.g_01929
OG0000559	Pram.g_00488	Syaq.g_01933
OG0000560	Pram.g_00491	Syaq.g_01936
OG0000561	Pram.g_00492	Syaq.g_01937
OG0000562	Pram.g_00493	Syaq.g_01938
OG0000563	Pram.g_00494	Syaq.g_01939
OG0000564	Pram.g_00495	Syaq.g_01940
OG0000565	Pram.g_00498	Syaq.g_01943
OG0000566	Pram.g_00502	Syaq.g_01947
OG0000567	Pram.g_00506	Syaq.g_01951
OG0000568	Pram.g_00507	Syaq.g_01954
