Orthogroup	Praa	Syas
OG0000560	Praa.g_00555	Syas.g_00792
OG0000561	Praa.g_00556	Syas.g_00793
OG0000562	Praa.g_00557	Syas.g_00794
OG0000563	Praa.g_00558	Syas.g_00795
OG0000564	Praa.g_00559	Syas.g_00796
OG0000565	Praa.g_00562	Syas.g_00800
OG0000566	Praa.g_00564	Syas.g_00804
OG0000567	Praa.g_00568	Syas.g_00808
OG0000568	Praa.g_00569	Syas.g_00810
OG0000569	Praa.g_00570	Syas.g_00811
OG0000570	Praa.g_00571	Syas.g_00812
OG0000571	Praa.g_00573	Syas.g_00815
OG0000572	Praa.g_00586	Syas.g_00839
OG0000573	Praa.g_00592	Syas.g_00952
OG0000574	Praa.g_00593	Syas.g_00951
OG0000575	Praa.g_00597	Syas.g_00848
OG0000576	Praa.g_00599	Syas.g_00850
OG0000577	Praa.g_00600	Syas.g_00851
OG0000578	Praa.g_00601	Syas.g_00852
OG0000579	Praa.g_00602	Syas.g_00853
OG0000580	Praa.g_00603	Syas.g_00854
OG0000581	Praa.g_00605	Syas.g_00861
OG0000582	Praa.g_00608	Syas.g_00873
OG0000583	Praa.g_00609	Syas.g_00872
OG0000584	Praa.g_00610	Syas.g_00871
OG0000585	Praa.g_00612	Syas.g_00868
OG0000586	Praa.g_00613	Syas.g_00867
OG0000587	Praa.g_00614	Syas.g_00865
OG0000588	Praa.g_00618	Syas.g_00960
