Orthogroup	Praz	Prai
OG0000537	Praz.g_01836	Prai.g_00522
OG0000538	Praz.g_01828	Prai.g_00530
OG0000539	Praz.g_01827	Prai.g_00531
OG0000540	Praz.g_01826	Prai.g_00532
OG0000541	Praz.g_01825	Prai.g_00533
OG0000542	Praz.g_01823	Prai.g_00535
OG0000543	Praz.g_01821	Prai.g_00537
OG0000544	Praz.g_01820	Prai.g_00538
OG0000545	Praz.g_01818	Prai.g_00540
OG0000546	Praz.g_01815	Prai.g_00543
OG0000547	Praz.g_01813	Prai.g_00544
OG0000548	Praz.g_01812	Prai.g_00545
OG0000549	Praz.g_01810	Prai.g_00547
OG0000550	Praz.g_01805	Prai.g_00552
OG0000551	Praz.g_01801	Prai.g_00555
OG0000552	Praz.g_01800	Prai.g_00556
OG0000553	Praz.g_01799	Prai.g_00557
OG0000554	Praz.g_01794	Prai.g_00562
OG0000555	Praz.g_01786	Prai.g_00570
