Orthogroup	Prad	Syar
OG0000475	Prad.g_01721	Syar.g_00212
OG0000476	Prad.g_01720	Syar.g_00214
OG0000477	Prad.g_01716	Syar.g_00219
OG0000478	Prad.g_01715	Syar.g_00220
OG0000479	Prad.g_01714	Syar.g_00221
OG0000480	Prad.g_01709	Syar.g_00228
OG0000481	Prad.g_01707	Syar.g_00230
OG0000482	Prad.g_01706	Syar.g_00231
OG0000483	Prad.g_01703	Syar.g_00235
OG0000484	Prad.g_01702	Syar.g_00236
OG0000485	Prad.g_01701	Syar.g_00237
OG0000486	Prad.g_01700	Syar.g_00238, Syar.g_00024
OG0000487	Prad.g_01696	Syar.g_00245
OG0000488	Prad.g_01693	Syar.g_00853
OG0000489	Prad.g_01688	Syar.g_00833
OG0000490	Prad.g_01683	Syar.g_00823
OG0000491	Prad.g_01682	Syar.g_00822
OG0000492	Prad.g_01680	Syar.g_00727
OG0000493	Prad.g_01679	Syar.g_00726
OG0000494	Prad.g_01678	Syar.g_00725
OG0000495	Prad.g_01677	Syar.g_00724
OG0000496	Prad.g_01676	Syar.g_00723
OG0000497	Prad.g_01675	Syar.g_00722
OG0000498	Prad.g_01674	Syar.g_00721
OG0000499	Prad.g_01673	Syar.g_00720
OG0000500	Prad.g_01672	Syar.g_00719
OG0000501	Prad.g_01670	Syar.g_00716
OG0000502	Prad.g_01667	Syar.g_00275
OG0000503	Prad.g_01657	Syar.g_01118
OG0000504	Prad.g_01656	Syar.g_01120
OG0000505	Prad.g_01655	Syar.g_01121
OG0000506	Prad.g_01653	Syar.g_01123
OG0000507	Prad.g_01650	Syar.g_01129
OG0000508	Prad.g_01646	Syar.g_01141
OG0000509	Prad.g_01644	Syar.g_01143
OG0000510	Prad.g_01643	Syar.g_01144
OG0000511	Prad.g_01642	Syar.g_01145
OG0000512	Prad.g_00760	Syar.g_01147
OG0000513	Prad.g_00753	Syar.g_01166
OG0000514	Prad.g_00671	Syar.g_01169
OG0000515	Prad.g_00670	Syar.g_01170
OG0000516	Prad.g_00669	Syar.g_01172
OG0000517	Prad.g_00667	Syar.g_01176
OG0000518	Prad.g_00061	Syar.g_02868
OG0000519	Prad.g_00060	Syar.g_02867
OG0000520	Prad.g_00059	Syar.g_02866
OG0000521	Prad.g_00054	Syar.g_01419
OG0000522	Prad.g_00052	Syar.g_01421
OG0000523	Prad.g_00051	Syar.g_01422
OG0000524	Prad.g_00045	Syar.g_01244
OG0000525	Prad.g_00042	Syar.g_01263
OG0000526	Prad.g_00041	Syar.g_01266
OG0000527	Prad.g_00034	Syar.g_01271
OG0000528	Prad.g_00029	Syar.g_01466
OG0000529	Prad.g_00026	Syar.g_01470
OG0000530	Prad.g_00023	Syar.g_01473
OG0000531	Prad.g_00022	Syar.g_01474
OG0000532	Prad.g_00020	Syar.g_01477
OG0000533	Prad.g_00019	Syar.g_01479
OG0000534	Prad.g_00018	Syar.g_01480
OG0000535	Prad.g_00017	Syar.g_01481
OG0000536	Prad.g_00016	Syar.g_01482
OG0000537	Prad.g_00015	Syar.g_01483
OG0000538	Prad.g_00129	Syar.g_01496
OG0000539	Prad.g_00128	Syar.g_01497
OG0000540	Prad.g_00127	Syar.g_01498
OG0000541	Prad.g_00126	Syar.g_01499
OG0000542	Prad.g_00124	Syar.g_01502
OG0000543	Prad.g_00122	Syar.g_01504
OG0000544	Prad.g_00121	Syar.g_01505
OG0000545	Prad.g_00119	Syar.g_01507
OG0000546	Prad.g_00116	Syar.g_01509
OG0000547	Prad.g_00114	Syar.g_01511
OG0000548	Prad.g_00113	Syar.g_01512
OG0000549	Prad.g_00111	Syar.g_02693
OG0000550	Prad.g_00106	Syar.g_02689
OG0000551	Prad.g_00102	Syar.g_02684
OG0000552	Prad.g_00101	Syar.g_02683
OG0000553	Prad.g_00100	Syar.g_02679
OG0000554	Prad.g_00095	Syar.g_02352
OG0000555	Prad.g_01332	Syar.g_02336
OG0000556	Prad.g_01334	Syar.g_02332
OG0000557	Prad.g_01335	Syar.g_02328
OG0000558	Prad.g_01337	Syar.g_02326
OG0000559	Prad.g_01341	Syar.g_02322
OG0000560	Prad.g_01344	Syar.g_02320
OG0000561	Prad.g_01345	Syar.g_02319
OG0000562	Prad.g_01346	Syar.g_02318
OG0000563	Prad.g_01347	Syar.g_02317
OG0000564	Prad.g_01348	Syar.g_02316
OG0000565	Prad.g_01351	Syar.g_02312
OG0000566	Prad.g_01353	Syar.g_02308
OG0000567	Prad.g_01357	Syar.g_02304
OG0000568	Prad.g_01358	Syar.g_02302
OG0000569	Prad.g_01359	Syar.g_02301
OG0000570	Prad.g_01360	Syar.g_02300
OG0000571	Prad.g_01362	Syar.g_02298
