Orthogroup	Prbf	Prbk
OG0000493	Prbf.g_01839	Prbk.g_01884
OG0000494	Prbf.g_01840	Prbk.g_01882
OG0000495	Prbf.g_01841	Prbk.g_01881
OG0000496	Prbf.g_01843	Prbk.g_01879
OG0000497	Prbf.g_01845	Prbk.g_01877
OG0000498	Prbf.g_01846	Prbk.g_01876
OG0000499	Prbf.g_01848	Prbk.g_01874
OG0000500	Prbf.g_01849	Prbk.g_01873
OG0000501	Prbf.g_01851	Prbk.g_01104
OG0000502	Prbf.g_01852	Prbk.g_01105
OG0000503	Prbf.g_01853	Prbk.g_01106
OG0000504	Prbf.g_01854	Prbk.g_01108
OG0000505	Prbf.g_01855	Prbk.g_01109
OG0000506	Prbf.g_01856	Prbk.g_01110
OG0000507	Prbf.g_01857	Prbk.g_01111
OG0000508	Prbf.g_01859	Prbk.g_01115
OG0000509	Prbf.g_01860	Prbk.g_01116
OG0000510	Prbf.g_01861	Prbk.g_01117
OG0000511	Prbf.g_01862	Prbk.g_01118
OG0000512	Prbf.g_01863	Prbk.g_01119
OG0000513	Prbf.g_01864	Prbk.g_01120
OG0000514	Prbf.g_01865	Prbk.g_01121
OG0000515	Prbf.g_01868	Prbk.g_01124
OG0000516	Prbf.g_01869	Prbk.g_01125
OG0000517	Prbf.g_01870	Prbk.g_01126
OG0000518	Prbf.g_01873	Prbk.g_01130
OG0000519	Prbf.g_01874	Prbk.g_01131
OG0000520	Prbf.g_01875	Prbk.g_01132
OG0000521	Prbf.g_01876	Prbk.g_01133
OG0000522	Prbf.g_01877	Prbk.g_01139
OG0000523	Prbf.g_01878	Prbk.g_01140
OG0000524	Prbf.g_01879	Prbk.g_01141
OG0000525	Prbf.g_01881	Prbk.g_01143
OG0000526	Prbf.g_01882	Prbk.g_01144
OG0000527	Prbf.g_01883	Prbk.g_01145
OG0000528	Prbf.g_01884	Prbk.g_01146
OG0000529	Prbf.g_01885	Prbk.g_01147
OG0000530	Prbf.g_01886	Prbk.g_01148
OG0000531	Prbf.g_01888	Prbk.g_01151
OG0000532	Prbf.g_01889	Prbk.g_01153
OG0000533	Prbf.g_01890	Prbk.g_01154
OG0000534	Prbf.g_01891	Prbk.g_01155
OG0000535	Prbf.g_01892	Prbk.g_01156
OG0000536	Prbf.g_01893	Prbk.g_01157
OG0000537	Prbf.g_01894	Prbk.g_01158
OG0000538	Prbf.g_01895	Prbk.g_01159
OG0000539	Prbf.g_01896	Prbk.g_01161
OG0000540	Prbf.g_01897	Prbk.g_01163
OG0000541	Prbf.g_01898	Prbk.g_02602
OG0000542	Prbf.g_01899	Prbk.g_02603
OG0000543	Prbf.g_01900	Prbk.g_02604
OG0000544	Prbf.g_01901	Prbk.g_02605
OG0000545	Prbf.g_01903	Prbk.g_02608
OG0000546	Prbf.g_01904	Prbk.g_02609
