Orthogroup	Syaq	Prbe
OG0000492	Syaq.g_00869	Prbe.g_01865
OG0000493	Syaq.g_00870	Prbe.g_01866
OG0000494	Syaq.g_00871	Prbe.g_01867
OG0000495	Syaq.g_00872	Prbe.g_01868
OG0000496	Syaq.g_00873	Prbe.g_01869
OG0000497	Syaq.g_00874	Prbe.g_01870
OG0000498	Syaq.g_00875	Prbe.g_01871
OG0000499	Syaq.g_00876	Prbe.g_01872
OG0000500	Syaq.g_00877	Prbe.g_01873
OG0000501	Syaq.g_00880	Prbe.g_01874
OG0000502	Syaq.g_00953	Prbe.g_01877
OG0000503	Syaq.g_00559	Prbe.g_01892
OG0000504	Syaq.g_00557	Prbe.g_01894
OG0000505	Syaq.g_00556	Prbe.g_01895
OG0000506	Syaq.g_00554	Prbe.g_01896
OG0000507	Syaq.g_00548	Prbe.g_01899
OG0000508	Syaq.g_00544	Prbe.g_01903
OG0000509	Syaq.g_00542	Prbe.g_01905
OG0000510	Syaq.g_00538	Prbe.g_01906
OG0000511	Syaq.g_00537	Prbe.g_01907
OG0000512	Syaq.g_00535	Prbe.g_01909
OG0000513	Syaq.g_00525	Prbe.g_01918
OG0000514	Syaq.g_00514	Prbe.g_01929
OG0000515	Syaq.g_00513	Prbe.g_01930
OG0000516	Syaq.g_00509	Prbe.g_01931
OG0000517	Syaq.g_00502	Prbe.g_01933
OG0000518	Syaq.g_00490	Prbe.g_01944
OG0000519	Syaq.g_00489	Prbe.g_01945
OG0000520	Syaq.g_00488	Prbe.g_01946
OG0000521	Syaq.g_00477	Prbe.g_00676
OG0000522	Syaq.g_00475	Prbe.g_00674
OG0000523	Syaq.g_00474	Prbe.g_00673
OG0000524	Syaq.g_00469	Prbe.g_00668
OG0000525	Syaq.g_00450	Prbe.g_00664
OG0000526	Syaq.g_00448	Prbe.g_00663
OG0000527	Syaq.g_00444	Prbe.g_00660
OG0000528	Syaq.g_01768	Prbe.g_00655
OG0000529	Syaq.g_01773	Prbe.g_00652
OG0000530	Syaq.g_01776	Prbe.g_00649
OG0000531	Syaq.g_01777	Prbe.g_00648
OG0000532	Syaq.g_01780	Prbe.g_00646
OG0000533	Syaq.g_01782	Prbe.g_00645
OG0000534	Syaq.g_01783	Prbe.g_00644
OG0000535	Syaq.g_01784	Prbe.g_00643
OG0000536	Syaq.g_01785	Prbe.g_00642
OG0000537	Syaq.g_01786	Prbe.g_00641
OG0000538	Syaq.g_01798	Prbe.g_00632
OG0000539	Syaq.g_01799	Prbe.g_00631
OG0000540	Syaq.g_01800	Prbe.g_00630
OG0000541	Syaq.g_01801	Prbe.g_00629
OG0000542	Syaq.g_01804	Prbe.g_00628
OG0000543	Syaq.g_01806	Prbe.g_00626
OG0000544	Syaq.g_02567	Prbe.g_00625
OG0000545	Syaq.g_01809	Prbe.g_00623
OG0000546	Syaq.g_01811	Prbe.g_00620
OG0000547	Syaq.g_01813	Prbe.g_00618
OG0000548	Syaq.g_01814	Prbe.g_00617
OG0000549	Syaq.g_01819	Prbe.g_00615
OG0000550	Syaq.g_01824	Prbe.g_00611
OG0000551	Syaq.g_01829	Prbe.g_00608
OG0000552	Syaq.g_01830	Prbe.g_00607
OG0000553	Syaq.g_01834	Prbe.g_00606
OG0000554	Syaq.g_01839	Prbe.g_00601
