Orthogroup	Prbk	Syae
OG0000523	Prbk.g_00298	Syae.g_02494
OG0000524	Prbk.g_02088	Syae.g_02501
OG0000525	Prbk.g_02105	Syae.g_02520
OG0000526	Prbk.g_02107	Syae.g_02523
OG0000527	Prbk.g_02111	Syae.g_02528
OG0000528	Prbk.g_02056	Syae.g_02304
OG0000529	Prbk.g_02062	Syae.g_02310
OG0000530	Prbk.g_02065	Syae.g_02313
OG0000531	Prbk.g_02066	Syae.g_02314
OG0000532	Prbk.g_02069	Syae.g_02317
OG0000533	Prbk.g_02071	Syae.g_02318
OG0000534	Prbk.g_02072	Syae.g_02319
OG0000535	Prbk.g_02073	Syae.g_02320
OG0000536	Prbk.g_02074	Syae.g_02321
OG0000537	Prbk.g_02075	Syae.g_02322
OG0000538	Prbk.g_01865	Syae.g_02333
OG0000539	Prbk.g_01041	Syae.g_02334
OG0000540	Prbk.g_01042	Syae.g_02335
OG0000541	Prbk.g_01043	Syae.g_02336
OG0000542	Prbk.g_01046	Syae.g_02339
OG0000543	Prbk.g_01048	Syae.g_02341
OG0000544	Prbk.g_01049	Syae.g_02342
OG0000545	Prbk.g_01050	Syae.g_02344
OG0000546	Prbk.g_01052	Syae.g_02346
OG0000547	Prbk.g_01054	Syae.g_02348
OG0000548	Prbk.g_01055	Syae.g_02349
OG0000549	Prbk.g_01061	Syae.g_02354
OG0000550	Prbk.g_01066	Syae.g_02358
OG0000551	Prbk.g_01070	Syae.g_02363
OG0000552	Prbk.g_01071	Syae.g_02364
OG0000553	Prbk.g_01076	Syae.g_02366
OG0000554	Prbk.g_01081	Syae.g_02375
OG0000555	Prbk.g_01099	Syae.g_02390
OG0000556	Prbk.g_02686	Syae.g_02394
OG0000557	Prbk.g_01898	Syae.g_02398
OG0000558	Prbk.g_01895	Syae.g_02400
OG0000559	Prbk.g_01891	Syae.g_02404
OG0000560	Prbk.g_01888	Syae.g_02407
OG0000561	Prbk.g_01887	Syae.g_02408
OG0000562	Prbk.g_01886	Syae.g_02409
OG0000563	Prbk.g_01885	Syae.g_02410
OG0000564	Prbk.g_01884	Syae.g_02411
OG0000565	Prbk.g_01881	Syae.g_02414
OG0000566	Prbk.g_01877	Syae.g_02418
OG0000567	Prbk.g_01873	Syae.g_02422
OG0000568	Prbk.g_01871	Syae.g_02427
