Orthogroup	Prbn	Prav
OG0000378	Prbn.g_00068	Prav.g_01946
OG0000379	Prbn.g_00069	Prav.g_01947
OG0000380	Prbn.g_00070	Prav.g_01948
OG0000381	Prbn.g_00071	Prav.g_01949
OG0000382	Prbn.g_00072	Prav.g_01950
OG0000383	Prbn.g_00073	Prav.g_01951
OG0000384	Prbn.g_00075	Prav.g_01954
OG0000385	Prbn.g_00076	Prav.g_01955
OG0000386	Prbn.g_00077	Prav.g_01956
OG0000387	Prbn.g_00078	Prav.g_01957
OG0000388	Prbn.g_00079	Prav.g_01958
OG0000389	Prbn.g_00080	Prav.g_01959
OG0000390	Prbn.g_00081	Prav.g_01960
OG0000391	Prbn.g_00082	Prav.g_01961
OG0000392	Prbn.g_00083	Prav.g_01962
OG0000393	Prbn.g_00084	Prav.g_01963
OG0000394	Prbn.g_00085	Prav.g_01964
OG0000395	Prbn.g_00086	Prav.g_01965
OG0000396	Prbn.g_00087	Prav.g_01967
OG0000397	Prbn.g_00089	Prav.g_01969
OG0000398	Prbn.g_00090	Prav.g_01970
OG0000399	Prbn.g_00092	Prav.g_01973
OG0000400	Prbn.g_00098	Prav.g_01974
OG0000401	Prbn.g_00099	Prav.g_01975
OG0000402	Prbn.g_00105	Prav.g_01980
OG0000403	Prbn.g_00107	Prav.g_01981
OG0000404	Prbn.g_00108	Prav.g_01982
OG0000405	Prbn.g_00109	Prav.g_01984
OG0000406	Prbn.g_00112	Prav.g_01987
OG0000407	Prbn.g_00113	Prav.g_01988
OG0000408	Prbn.g_00116	Prav.g_01991
OG0000409	Prbn.g_00117	Prav.g_01992
OG0000410	Prbn.g_00118	Prav.g_01993
OG0000411	Prbn.g_00119	Prav.g_01994
OG0000412	Prbn.g_00120	Prav.g_01995
OG0000413	Prbn.g_00121	Prav.g_01996
OG0000414	Prbn.g_00122	Prav.g_01997
OG0000415	Prbn.g_00123	Prav.g_01998
OG0000416	Prbn.g_00697	Prav.g_00974
OG0000417	Prbn.g_00696	Prav.g_00975
OG0000418	Prbn.g_00694	Prav.g_00976
OG0000419	Prbn.g_00693	Prav.g_00977
OG0000420	Prbn.g_01491	Prav.g_00978
OG0000421	Prbn.g_01145	Prav.g_00990
OG0000422	Prbn.g_01697	Prav.g_00996
OG0000423	Prbn.g_01150	Prav.g_00997
OG0000424	Prbn.g_01810	Prav.g_01001
OG0000425	Prbn.g_00682	Prav.g_01030
OG0000426	Prbn.g_00681	Prav.g_01031
OG0000427	Prbn.g_00680	Prav.g_01032
OG0000428	Prbn.g_00678	Prav.g_01034
OG0000429	Prbn.g_00677	Prav.g_01035
OG0000430	Prbn.g_00675	Prav.g_01037
OG0000431	Prbn.g_00674	Prav.g_01038
OG0000432	Prbn.g_00673	Prav.g_01039
OG0000433	Prbn.g_00672	Prav.g_01040
OG0000434	Prbn.g_00671	Prav.g_01041
OG0000435	Prbn.g_00670	Prav.g_01042
OG0000436	Prbn.g_00669	Prav.g_01043
OG0000437	Prbn.g_00668	Prav.g_01044
OG0000438	Prbn.g_00667	Prav.g_01045
OG0000439	Prbn.g_00666	Prav.g_01046
OG0000440	Prbn.g_00665	Prav.g_01047
OG0000441	Prbn.g_00664	Prav.g_01048
OG0000442	Prbn.g_00663	Prav.g_01049
OG0000443	Prbn.g_00662	Prav.g_01050
OG0000444	Prbn.g_00661	Prav.g_01051
OG0000445	Prbn.g_00657	Prav.g_01052
OG0000446	Prbn.g_00655	Prav.g_01053
OG0000447	Prbn.g_00654	Prav.g_01054
OG0000448	Prbn.g_00653	Prav.g_01056
OG0000449	Prbn.g_00649	Prav.g_01059
OG0000450	Prbn.g_00648	Prav.g_01060
OG0000451	Prbn.g_00647	Prav.g_01061
OG0000452	Prbn.g_00645	Prav.g_01062
OG0000453	Prbn.g_00644	Prav.g_01063
OG0000454	Prbn.g_00643	Prav.g_01069
OG0000455	Prbn.g_00641	Prav.g_01071
OG0000456	Prbn.g_00637	Prav.g_01075
OG0000457	Prbn.g_00636	Prav.g_01076
OG0000458	Prbn.g_00635	Prav.g_01077
OG0000459	Prbn.g_00633	Prav.g_01079
OG0000460	Prbn.g_00631	Prav.g_01081
OG0000461	Prbn.g_00630	Prav.g_01082
OG0000462	Prbn.g_00629	Prav.g_01083
OG0000463	Prbn.g_00627	Prav.g_01085
OG0000464	Prbn.g_00626	Prav.g_01086
OG0000465	Prbn.g_00625	Prav.g_01087
OG0000466	Prbn.g_00624	Prav.g_01088
OG0000467	Prbn.g_00623	Prav.g_01089
OG0000468	Prbn.g_00622	Prav.g_01090
OG0000469	Prbn.g_00621	Prav.g_01091
OG0000470	Prbn.g_00620	Prav.g_01092
OG0000471	Prbn.g_00619	Prav.g_01093
OG0000472	Prbn.g_00613	Prav.g_01098
OG0000473	Prbn.g_00612	Prav.g_01099
OG0000474	Prbn.g_00611	Prav.g_01100
OG0000475	Prbn.g_00610	Prav.g_01101
OG0000476	Prbn.g_00609	Prav.g_01103
OG0000477	Prbn.g_00608	Prav.g_01104
OG0000478	Prbn.g_00607	Prav.g_01105
OG0000479	Prbn.g_00606	Prav.g_01106
OG0000480	Prbn.g_00604	Prav.g_01108
OG0000481	Prbn.g_00602	Prav.g_01110
OG0000482	Prbn.g_00601	Prav.g_01111
OG0000483	Prbn.g_00599	Prav.g_01113
OG0000484	Prbn.g_00598	Prav.g_01114
OG0000485	Prbn.g_00597	Prav.g_01115
OG0000486	Prbn.g_00596	Prav.g_01116
OG0000487	Prbn.g_00592	Prav.g_01121
OG0000488	Prbn.g_00591	Prav.g_01123
OG0000489	Prbn.g_00590	Prav.g_01124
OG0000490	Prbn.g_00589	Prav.g_01125
OG0000491	Prbn.g_00588	Prav.g_01126
OG0000492	Prbn.g_00587	Prav.g_01127
OG0000493	Prbn.g_00586	Prav.g_01128
OG0000494	Prbn.g_00585	Prav.g_01129
OG0000495	Prbn.g_00582	Prav.g_01132
OG0000496	Prbn.g_00581	Prav.g_01133
OG0000497	Prbn.g_00580	Prav.g_01134
OG0000498	Prbn.g_00579	Prav.g_01135
OG0000499	Prbn.g_00578	Prav.g_01136
OG0000500	Prbn.g_00576	Prav.g_01138
OG0000501	Prbn.g_00575	Prav.g_01139
OG0000502	Prbn.g_00574	Prav.g_01140
OG0000503	Prbn.g_00572	Prav.g_01142
OG0000504	Prbn.g_00571	Prav.g_01143
OG0000505	Prbn.g_00570	Prav.g_01144
OG0000506	Prbn.g_00569	Prav.g_01145
OG0000507	Prbn.g_00568	Prav.g_01146
OG0000508	Prbn.g_00567	Prav.g_01147
OG0000509	Prbn.g_00566	Prav.g_01148
OG0000510	Prbn.g_00565	Prav.g_01149
OG0000511	Prbn.g_00563	Prav.g_01151
OG0000512	Prbn.g_00562	Prav.g_01152
OG0000513	Prbn.g_00561	Prav.g_01153
OG0000514	Prbn.g_00560	Prav.g_01154
OG0000515	Prbn.g_00559	Prav.g_01155
OG0000516	Prbn.g_00558	Prav.g_01156
OG0000517	Prbn.g_00557	Prav.g_01158
OG0000518	Prbn.g_00556	Prav.g_01159
OG0000519	Prbn.g_00554	Prav.g_01160
OG0000520	Prbn.g_00552	Prav.g_01161
OG0000521	Prbn.g_00551	Prav.g_01162
OG0000522	Prbn.g_00550	Prav.g_01163
OG0000523	Prbn.g_00549	Prav.g_01164
OG0000524	Prbn.g_00548	Prav.g_01165
OG0000525	Prbn.g_00547	Prav.g_01166
OG0000526	Prbn.g_00546	Prav.g_01167
OG0000527	Prbn.g_00545	Prav.g_01168
OG0000528	Prbn.g_00544	Prav.g_01169
OG0000529	Prbn.g_00543	Prav.g_01170
OG0000530	Prbn.g_00542	Prav.g_01171
OG0000531	Prbn.g_00541	Prav.g_01172
OG0000532	Prbn.g_00540	Prav.g_01173
OG0000533	Prbn.g_00538	Prav.g_01175
OG0000534	Prbn.g_00537	Prav.g_01176
OG0000535	Prbn.g_00536	Prav.g_01177
OG0000536	Prbn.g_00535	Prav.g_01178
OG0000537	Prbn.g_00534	Prav.g_01179
OG0000538	Prbn.g_00533	Prav.g_01180
OG0000539	Prbn.g_00529	Prav.g_01183
OG0000540	Prbn.g_00528	Prav.g_01184
OG0000541	Prbn.g_00527	Prav.g_01185
OG0000542	Prbn.g_00524	Prav.g_01187
OG0000543	Prbn.g_00523	Prav.g_01188
OG0000544	Prbn.g_00522	Prav.g_01189
OG0000545	Prbn.g_00521	Prav.g_01190
OG0000546	Prbn.g_00520	Prav.g_01191
OG0000547	Prbn.g_00519	Prav.g_01192
OG0000548	Prbn.g_00518	Prav.g_01193
OG0000549	Prbn.g_00516	Prav.g_01195
OG0000550	Prbn.g_00515	Prav.g_01196
OG0000551	Prbn.g_00514	Prav.g_01197
OG0000552	Prbn.g_00513	Prav.g_01198
OG0000553	Prbn.g_00512	Prav.g_01199
OG0000554	Prbn.g_00511	Prav.g_01200
OG0000555	Prbn.g_00509	Prav.g_01201
OG0000556	Prbn.g_00508	Prav.g_01202
OG0000557	Prbn.g_00507	Prav.g_01203
OG0000558	Prbn.g_00506	Prav.g_01204
OG0000559	Prbn.g_00505	Prav.g_01205
OG0000560	Prbn.g_00504	Prav.g_01206
