Orthogroup	Syar	Prav
OG0000508	Syar.g_01141	Prav.g_01991
OG0000509	Syar.g_01143	Prav.g_01993
OG0000510	Syar.g_01144	Prav.g_01994
OG0000511	Syar.g_01145	Prav.g_01995
OG0000512	Syar.g_01147	Prav.g_01997
OG0000513	Syar.g_01166	Prav.g_00977
OG0000514	Syar.g_01169	Prav.g_01030
OG0000515	Syar.g_01170	Prav.g_01031
OG0000516	Syar.g_01172	Prav.g_01032
OG0000517	Syar.g_01176	Prav.g_01034
OG0000518	Syar.g_02868	Prav.g_01045
OG0000519	Syar.g_02867	Prav.g_01046
OG0000520	Syar.g_02866	Prav.g_01047
OG0000521	Syar.g_01419	Prav.g_01052
OG0000522	Syar.g_01421	Prav.g_01053
OG0000523	Syar.g_01422	Prav.g_01054
OG0000524	Syar.g_01244	Prav.g_01059
OG0000525	Syar.g_01263	Prav.g_01062
OG0000526	Syar.g_01266	Prav.g_01063
OG0000527	Syar.g_01271	Prav.g_01071
OG0000528	Syar.g_01466	Prav.g_01076
OG0000529	Syar.g_01470	Prav.g_01079
OG0000530	Syar.g_01473	Prav.g_01082
OG0000531	Syar.g_01474	Prav.g_01083
OG0000532	Syar.g_01477	Prav.g_01085
OG0000533	Syar.g_01479	Prav.g_01086
OG0000534	Syar.g_01480	Prav.g_01087
OG0000535	Syar.g_01481	Prav.g_01088
OG0000536	Syar.g_01482	Prav.g_01089
OG0000537	Syar.g_01483	Prav.g_01090
OG0000538	Syar.g_01496	Prav.g_01098
OG0000539	Syar.g_01497	Prav.g_01099
OG0000540	Syar.g_01498	Prav.g_01100
OG0000541	Syar.g_01499	Prav.g_01101
OG0000542	Syar.g_01502	Prav.g_01103
OG0000543	Syar.g_01504	Prav.g_01105
OG0000544	Syar.g_01505	Prav.g_01106
OG0000545	Syar.g_01507	Prav.g_01108
OG0000546	Syar.g_01509	Prav.g_01111
OG0000547	Syar.g_01511	Prav.g_01113
OG0000548	Syar.g_01512	Prav.g_01114
OG0000549	Syar.g_02693	Prav.g_01116
OG0000550	Syar.g_02689	Prav.g_01121
OG0000551	Syar.g_02684	Prav.g_01125
OG0000552	Syar.g_02683	Prav.g_01126
