Orthogroup	Prae	Prbc
OG0000517	Prae.g_00409	Prbc.g_01496
OG0000518	Prae.g_00420	Prbc.g_01507
OG0000519	Prae.g_00421	Prbc.g_01508
OG0000520	Prae.g_00422	Prbc.g_01509
OG0000521	Prae.g_00427	Prbc.g_01514
OG0000522	Prae.g_00429	Prbc.g_01516
OG0000523	Prae.g_00430	Prbc.g_01517
OG0000524	Prae.g_00435	Prbc.g_01524
OG0000525	Prae.g_00438	Prbc.g_01528
OG0000526	Prae.g_00439	Prbc.g_01529
OG0000527	Prae.g_00447	Prbc.g_01532
OG0000528	Prae.g_00452	Prbc.g_01538
OG0000529	Prae.g_00455	Prbc.g_01541
OG0000530	Prae.g_00458	Prbc.g_01544
OG0000531	Prae.g_00459	Prbc.g_01545
OG0000532	Prae.g_00461	Prbc.g_01546
OG0000533	Prae.g_00462	Prbc.g_01547
OG0000534	Prae.g_00463	Prbc.g_01548
OG0000535	Prae.g_00464	Prbc.g_01549
OG0000536	Prae.g_00465	Prbc.g_01550
OG0000537	Prae.g_00466	Prbc.g_01551
OG0000538	Prae.g_00474	Prbc.g_01580
OG0000539	Prae.g_00475	Prbc.g_01581
OG0000540	Prae.g_00476	Prbc.g_01582
OG0000541	Prae.g_00477	Prbc.g_01583
OG0000542	Prae.g_00479	Prbc.g_01585
OG0000543	Prae.g_00481	Prbc.g_01587
OG0000544	Prae.g_00482	Prbc.g_01588
OG0000545	Prae.g_00484	Prbc.g_01590
OG0000546	Prae.g_00487	Prbc.g_01593
OG0000547	Prae.g_00489	Prbc.g_01595
OG0000548	Prae.g_00490	Prbc.g_01596
OG0000549	Prae.g_00492	Prbc.g_01599
OG0000550	Prae.g_00497	Prbc.g_01603
