Orthogroup	Prai	Prbb
OG0000522	Prai.g_00486	Prbb.g_00460
OG0000523	Prai.g_00487	Prbb.g_00461
OG0000524	Prai.g_00492	Prbb.g_00468
OG0000525	Prai.g_00495	Prbb.g_00472
OG0000526	Prai.g_00496	Prbb.g_00473
OG0000527	Prai.g_00503	Prbb.g_00476
OG0000528	Prai.g_00508	Prbb.g_00482
OG0000529	Prai.g_00511	Prbb.g_00486
OG0000530	Prai.g_00514	Prbb.g_00489
OG0000531	Prai.g_00515	Prbb.g_00490
OG0000532	Prai.g_00517	Prbb.g_00491
OG0000533	Prai.g_00518	Prbb.g_00492
OG0000534	Prai.g_00519	Prbb.g_00493
OG0000535	Prai.g_00520	Prbb.g_00494
OG0000536	Prai.g_00521	Prbb.g_00495
OG0000537	Prai.g_00522	Prbb.g_00496
