Orthogroup	Syat	Syam
OG0000542	Syat.g_03213	Syam.g_00613
OG0000543	Syat.g_03215	Syam.g_00615
OG0000544	Syat.g_03216	Syam.g_00616
OG0000545	Syat.g_03218	Syam.g_00618
OG0000546	Syat.g_03220	Syam.g_00620
OG0000547	Syat.g_03222	Syam.g_00622
OG0000548	Syat.g_03223	Syam.g_00623
OG0000549	Syat.g_01795	Syam.g_00630
OG0000550	Syat.g_01107	Syam.g_00635
OG0000551	Syat.g_01103	Syam.g_00640
OG0000552	Syat.g_01102	Syam.g_00641
OG0000553	Syat.g_01098	Syam.g_00643
OG0000554	Syat.g_03271	Syam.g_00652
OG0000555	Syat.g_00093	Syam.g_00667
OG0000556	Syat.g_00088	Syam.g_00670
OG0000557	Syat.g_00083	Syam.g_00672
OG0000558	Syat.g_00081	Syam.g_00675
OG0000559	Syat.g_00077	Syam.g_00679
OG0000560	Syat.g_00074	Syam.g_00682
OG0000561	Syat.g_00073	Syam.g_00683
OG0000562	Syat.g_00072	Syam.g_00684
OG0000563	Syat.g_00071	Syam.g_00685
OG0000564	Syat.g_00070	Syam.g_00686
OG0000565	Syat.g_00067	Syam.g_00690
OG0000566	Syat.g_00063	Syam.g_00694
OG0000567	Syat.g_00059	Syam.g_00698
OG0000568	Syat.g_00057	Syam.g_01751
OG0000569	Syat.g_00056	Syam.g_01750
OG0000570	Syat.g_00055	Syam.g_01749
OG0000571	Syat.g_00052	Syam.g_01745
OG0000572	Syat.g_00033	Syam.g_01729
OG0000573	Syat.g_00024	Syam.g_01721
OG0000574	Syat.g_00023	Syam.g_01720
OG0000575	Syat.g_00018	Syam.g_01716
OG0000576	Syat.g_00014	Syam.g_01714
OG0000577	Syat.g_00013	Syam.g_01713
OG0000578	Syat.g_00012	Syam.g_01712
OG0000579	Syat.g_00011	Syam.g_01711
OG0000580	Syat.g_00010	Syam.g_01710
OG0000581	Syat.g_00003	Syam.g_01704
OG0000582	Syat.g_03403	Syam.g_01513
OG0000583	Syat.g_03404	Syam.g_01512
OG0000584	Syat.g_03405	Syam.g_01511
OG0000585	Syat.g_03408	Syam.g_01509
OG0000586	Syat.g_03409	Syam.g_01508
OG0000587	Syat.g_00001	Syam.g_01506
OG0000588	Syat.g_00338	Syam.g_01498
OG0000589	Syat.g_03318	Syam.g_01494
OG0000590	Syat.g_03317	Syam.g_01493
OG0000591	Syat.g_03308	Syam.g_01486
OG0000592	Syat.g_03307	Syam.g_01485
OG0000593	Syat.g_00113	Syam.g_01471
OG0000594	Syat.g_00114	Syam.g_01470
OG0000595	Syat.g_00115	Syam.g_01469
OG0000596	Syat.g_00129	Syam.g_01465
OG0000597	Syat.g_00132	Syam.g_01462
OG0000598	Syat.g_00133	Syam.g_01461
OG0000599	Syat.g_00381	Syam.g_01458
OG0000600	Syat.g_00380	Syam.g_01457
OG0000601	Syat.g_00379	Syam.g_01456
OG0000602	Syat.g_00375	Syam.g_01451
OG0000603	Syat.g_00374	Syam.g_01450
OG0000604	Syat.g_00372	Syam.g_01447
OG0000605	Syat.g_00370	Syam.g_01031
OG0000606	Syat.g_00367	Syam.g_01387
OG0000607	Syat.g_00364	Syam.g_01384
OG0000608	Syat.g_00363	Syam.g_01383
