Orthogroup	Pras	Pray
OG0000329	Pras.g_01116	Pray.g_00744
OG0000330	Pras.g_01117	Pray.g_00745
OG0000331	Pras.g_01118	Pray.g_00746
OG0000332	Pras.g_01119	Pray.g_00747
OG0000333	Pras.g_01120	Pray.g_00748
OG0000334	Pras.g_01121	Pray.g_00749
OG0000335	Pras.g_01122	Pray.g_00750
OG0000336	Pras.g_01123	Pray.g_00751
OG0000337	Pras.g_01127	Pray.g_00754
OG0000338	Pras.g_01128	Pray.g_00755
OG0000339	Pras.g_01129	Pray.g_00756
OG0000340	Pras.g_01130	Pray.g_00757
OG0000341	Pras.g_01134	Pray.g_00761
OG0000342	Pras.g_01135	Pray.g_00762
OG0000343	Pras.g_01137	Pray.g_00764
OG0000344	Pras.g_01138	Pray.g_00765
OG0000345	Pras.g_01139	Pray.g_00766
OG0000346	Pras.g_01140	Pray.g_00767
OG0000347	Pras.g_01141	Pray.g_00768
OG0000348	Pras.g_01142	Pray.g_00769
OG0000349	Pras.g_01143	Pray.g_00770
OG0000350	Pras.g_01144	Pray.g_00771
OG0000351	Pras.g_01146	Pray.g_00773
OG0000352	Pras.g_01149	Pray.g_00776
OG0000353	Pras.g_01150	Pray.g_00777
OG0000354	Pras.g_01151	Pray.g_00778
OG0000355	Pras.g_01152	Pray.g_00779
OG0000356	Pras.g_01153	Pray.g_00780
OG0000357	Pras.g_01155	Pray.g_00781
OG0000358	Pras.g_01156	Pray.g_00782
OG0000359	Pras.g_01157	Pray.g_00783
OG0000360	Pras.g_01160	Pray.g_00786
OG0000361	Pras.g_01161	Pray.g_00787
OG0000362	Pras.g_01162	Pray.g_00788
OG0000363	Pras.g_01163	Pray.g_00789
OG0000364	Pras.g_01164	Pray.g_00790
OG0000365	Pras.g_01165	Pray.g_00791
OG0000366	Pras.g_01166	Pray.g_00792
OG0000367	Pras.g_01167	Pray.g_00793
OG0000368	Pras.g_01168	Pray.g_00794
OG0000369	Pras.g_01169	Pray.g_00795
OG0000370	Pras.g_01170	Pray.g_00796
OG0000371	Pras.g_01171	Pray.g_00797
OG0000372	Pras.g_01173	Pray.g_00799
OG0000373	Pras.g_01175	Pray.g_00801
OG0000374	Pras.g_01176	Pray.g_00802
OG0000375	Pras.g_01177	Pray.g_00803
OG0000376	Pras.g_01179	Pray.g_00805
OG0000377	Pras.g_01180	Pray.g_00806
OG0000378	Pras.g_01181	Pray.g_00807
OG0000379	Pras.g_01187	Pray.g_00812
OG0000380	Pras.g_01188	Pray.g_00813
OG0000381	Pras.g_01189	Pray.g_00814
OG0000382	Pras.g_01191	Pray.g_00816
OG0000383	Pras.g_01194	Pray.g_00819
OG0000384	Pras.g_01195	Pray.g_00820
OG0000385	Pras.g_01198	Pray.g_00823
OG0000386	Pras.g_01199	Pray.g_00824
OG0000387	Pras.g_01200	Pray.g_00825
OG0000388	Pras.g_01201	Pray.g_00826
OG0000389	Pras.g_01202	Pray.g_00827
OG0000390	Pras.g_01203	Pray.g_00828
OG0000391	Pras.g_01204	Pray.g_00829
OG0000392	Pras.g_01205	Pray.g_00830
OG0000393	Pras.g_01208	Pray.g_00833
OG0000394	Pras.g_01209	Pray.g_00834
OG0000395	Pras.g_01211	Pray.g_00836
OG0000396	Pras.g_01212	Pray.g_00837
OG0000397	Pras.g_01224	Pray.g_00849
OG0000398	Pras.g_01232	Pray.g_00857
OG0000399	Pras.g_01233	Pray.g_00858
OG0000400	Pras.g_01239	Pray.g_00864
OG0000401	Pras.g_01309	Pray.g_00921
OG0000402	Pras.g_01310	Pray.g_00922
OG0000403	Pras.g_01311	Pray.g_00923
OG0000404	Pras.g_01313	Pray.g_00925
OG0000405	Pras.g_01314	Pray.g_00926
OG0000406	Pras.g_01316	Pray.g_00928
OG0000407	Pras.g_01317	Pray.g_00929
OG0000408	Pras.g_01318	Pray.g_00930
OG0000409	Pras.g_01319	Pray.g_00931
OG0000410	Pras.g_01320	Pray.g_00932
OG0000411	Pras.g_01321	Pray.g_00933
OG0000412	Pras.g_01322	Pray.g_00934
OG0000413	Pras.g_01323	Pray.g_00935
OG0000414	Pras.g_01324	Pray.g_00936
OG0000415	Pras.g_01325	Pray.g_00937
OG0000416	Pras.g_01326	Pray.g_00938
OG0000417	Pras.g_01327	Pray.g_00939
OG0000418	Pras.g_01328	Pray.g_00940
OG0000419	Pras.g_01329	Pray.g_00941
OG0000420	Pras.g_01330	Pray.g_00942
OG0000421	Pras.g_01331	Pray.g_00943
OG0000422	Pras.g_01332	Pray.g_00945
OG0000423	Pras.g_01333	Pray.g_00946
OG0000424	Pras.g_01335	Pray.g_00948
OG0000425	Pras.g_01339	Pray.g_00951
OG0000426	Pras.g_01340	Pray.g_00952
OG0000427	Pras.g_01341	Pray.g_00953
OG0000428	Pras.g_01342	Pray.g_00954
OG0000429	Pras.g_01343	Pray.g_00955
OG0000430	Pras.g_01349	Pray.g_00961
OG0000431	Pras.g_01351	Pray.g_00963
OG0000432	Pras.g_01352	Pray.g_00964
OG0000433	Pras.g_01355	Pray.g_00967
OG0000434	Pras.g_01356	Pray.g_00968
OG0000435	Pras.g_01357	Pray.g_00969
OG0000436	Pras.g_01359	Pray.g_00971
OG0000437	Pras.g_01361	Pray.g_00973
OG0000438	Pras.g_01362	Pray.g_00974
OG0000439	Pras.g_01363	Pray.g_00975
OG0000440	Pras.g_01365	Pray.g_00977
OG0000441	Pras.g_01366	Pray.g_00978
OG0000442	Pras.g_01367	Pray.g_00979
OG0000443	Pras.g_01368	Pray.g_00980
OG0000444	Pras.g_01369	Pray.g_00981
OG0000445	Pras.g_01370	Pray.g_00982
OG0000446	Pras.g_01371	Pray.g_00983
OG0000447	Pras.g_01372	Pray.g_00984
OG0000448	Pras.g_01373	Pray.g_00985
OG0000449	Pras.g_01378	Pray.g_00991
OG0000450	Pras.g_01379	Pray.g_00992
OG0000451	Pras.g_01380	Pray.g_00993
OG0000452	Pras.g_01381	Pray.g_00994
OG0000453	Pras.g_01383	Pray.g_00996
OG0000454	Pras.g_01384	Pray.g_00997
OG0000455	Pras.g_01385	Pray.g_00998
OG0000456	Pras.g_01386	Pray.g_00999
OG0000457	Pras.g_01388	Pray.g_01001
OG0000458	Pras.g_01390	Pray.g_01003
OG0000459	Pras.g_01391	Pray.g_01004
OG0000460	Pras.g_01393	Pray.g_01006
OG0000461	Pras.g_01394	Pray.g_01007
OG0000462	Pras.g_01395	Pray.g_01008
OG0000463	Pras.g_01396	Pray.g_01009
OG0000464	Pras.g_01401	Pray.g_01014
OG0000465	Pras.g_01402	Pray.g_01016
OG0000466	Pras.g_01403	Pray.g_01017
OG0000467	Pras.g_01404	Pray.g_01018
OG0000468	Pras.g_01405	Pray.g_01019
OG0000469	Pras.g_01406	Pray.g_01020
OG0000470	Pras.g_01407	Pray.g_01021
OG0000471	Pras.g_01408	Pray.g_01022
OG0000472	Pras.g_01411	Pray.g_01227
OG0000473	Pras.g_01412	Pray.g_01226
OG0000474	Pras.g_01413	Pray.g_01225
OG0000475	Pras.g_01414	Pray.g_01224
OG0000476	Pras.g_01415	Pray.g_01223
OG0000477	Pras.g_01417	Pray.g_01221
OG0000478	Pras.g_01418	Pray.g_01220
OG0000479	Pras.g_01419	Pray.g_01219
OG0000480	Pras.g_01421	Pray.g_01217
OG0000481	Pras.g_01422	Pray.g_01216
OG0000482	Pras.g_01423	Pray.g_01215
OG0000483	Pras.g_01424	Pray.g_01214
OG0000484	Pras.g_01425	Pray.g_01213
OG0000485	Pras.g_01426	Pray.g_01212
OG0000486	Pras.g_01427	Pray.g_01211
OG0000487	Pras.g_01428	Pray.g_01210
OG0000488	Pras.g_01430	Pray.g_01208
OG0000489	Pras.g_01431	Pray.g_01207
OG0000490	Pras.g_01432	Pray.g_01206
OG0000491	Pras.g_01433	Pray.g_01205
OG0000492	Pras.g_01434	Pray.g_01204
OG0000493	Pras.g_01435	Pray.g_01203
OG0000494	Pras.g_01437	Pray.g_01201
OG0000495	Pras.g_01438	Pray.g_01200
OG0000496	Pras.g_01439	Pray.g_01199
OG0000497	Pras.g_01440	Pray.g_01198
OG0000498	Pras.g_01441	Pray.g_01197
OG0000499	Pras.g_01443	Pray.g_01195
OG0000500	Pras.g_01444	Pray.g_01194
OG0000501	Pras.g_01446	Pray.g_01192
OG0000502	Pras.g_01447	Pray.g_01191
OG0000503	Pras.g_01448	Pray.g_01190
OG0000504	Pras.g_01449	Pray.g_01189
OG0000505	Pras.g_01450	Pray.g_01188
OG0000506	Pras.g_01451	Pray.g_01187
OG0000507	Pras.g_01452	Pray.g_01186
OG0000508	Pras.g_01454	Pray.g_01184
OG0000509	Pras.g_01455	Pray.g_01183
OG0000510	Pras.g_01456	Pray.g_01182
OG0000511	Pras.g_01457	Pray.g_01181
OG0000512	Pras.g_01459	Pray.g_01180
OG0000513	Pras.g_01460	Pray.g_01179
OG0000514	Pras.g_01461	Pray.g_01178
OG0000515	Pras.g_01463	Pray.g_01176
OG0000516	Pras.g_01464	Pray.g_01175
OG0000517	Pras.g_01465	Pray.g_01174
OG0000518	Pras.g_01467	Pray.g_01172
OG0000519	Pras.g_01468	Pray.g_01171
OG0000520	Pras.g_01469	Pray.g_01170
OG0000521	Pras.g_01470	Pray.g_01169
OG0000522	Pras.g_01471	Pray.g_01168
OG0000523	Pras.g_01472	Pray.g_01167
OG0000524	Pras.g_01473	Pray.g_01166
OG0000525	Pras.g_01475	Pray.g_01164
OG0000526	Pras.g_01476	Pray.g_01163
OG0000527	Pras.g_01477	Pray.g_01162
OG0000528	Pras.g_01478	Pray.g_01161
OG0000529	Pras.g_01479	Pray.g_01160
OG0000530	Pras.g_01480	Pray.g_01159
OG0000531	Pras.g_01481	Pray.g_01158
OG0000532	Pras.g_01482	Pray.g_01157
OG0000533	Pras.g_01483	Pray.g_01156
OG0000534	Pras.g_01484	Pray.g_01155
OG0000535	Pras.g_01485	Pray.g_01154
OG0000536	Pras.g_01486	Pray.g_01153
OG0000537	Pras.g_01487	Pray.g_01152
OG0000538	Pras.g_01488	Pray.g_01151
OG0000539	Pras.g_01489	Pray.g_01150
OG0000540	Pras.g_01490	Pray.g_01149
OG0000541	Pras.g_01491	Pray.g_01148
OG0000542	Pras.g_01492	Pray.g_01147
OG0000543	Pras.g_01493	Pray.g_01146
OG0000544	Pras.g_01494	Pray.g_01145
OG0000545	Pras.g_01497	Pray.g_01142
OG0000546	Pras.g_01498	Pray.g_01141
OG0000547	Pras.g_01500	Pray.g_01139
OG0000548	Pras.g_01501	Pray.g_01138
OG0000549	Pras.g_01502	Pray.g_01137
OG0000550	Pras.g_01503	Pray.g_01136
OG0000551	Pras.g_01504	Pray.g_01135
OG0000552	Pras.g_01505	Pray.g_01134
OG0000553	Pras.g_01506	Pray.g_01133
OG0000554	Pras.g_01507	Pray.g_01132
OG0000555	Pras.g_01508	Pray.g_01131
OG0000556	Pras.g_01509	Pray.g_01130
