Orthogroup	Syat	Syak
OG0000503	Syat.g_01614	Syak.g_01246
OG0000504	Syat.g_01612	Syak.g_01244
OG0000505	Syat.g_01611	Syak.g_01243
OG0000506	Syat.g_01609	Syak.g_01241
OG0000507	Syat.g_01603	Syak.g_01235
OG0000508	Syat.g_01596	Syak.g_01231
OG0000509	Syat.g_01591	Syak.g_01229
OG0000510	Syat.g_01590	Syak.g_01228
OG0000511	Syat.g_01589	Syak.g_01227
OG0000512	Syat.g_01587	Syak.g_01225
OG0000513	Syat.g_02957	Syak.g_01211
OG0000514	Syat.g_02962	Syak.g_01204
OG0000515	Syat.g_02963	Syak.g_01203
OG0000516	Syat.g_02965	Syak.g_01199
OG0000517	Syat.g_02969	Syak.g_01192
OG0000518	Syat.g_01286	Syak.g_01180
OG0000519	Syat.g_01285	Syak.g_01179
OG0000520	Syat.g_01284	Syak.g_01178
OG0000521	Syat.g_01319	Syak.g_01167
OG0000522	Syat.g_01317	Syak.g_01163
OG0000523	Syat.g_01316	Syak.g_01162
OG0000524	Syat.g_01409	Syak.g_01149
OG0000525	Syat.g_01382	Syak.g_01130
OG0000526	Syat.g_01380	Syak.g_01127
OG0000527	Syat.g_01373	Syak.g_01120
OG0000528	Syat.g_03167	Syak.g_02570
OG0000529	Syat.g_03171	Syak.g_02575
OG0000530	Syat.g_03174	Syak.g_02578
OG0000531	Syat.g_03175	Syak.g_02579
OG0000532	Syat.g_03178	Syak.g_02582
OG0000533	Syat.g_03180	Syak.g_02584
OG0000534	Syat.g_03181	Syak.g_02585
OG0000535	Syat.g_03182	Syak.g_02586
OG0000536	Syat.g_03183	Syak.g_02587
OG0000537	Syat.g_03185	Syak.g_02588
OG0000538	Syat.g_03204	Syak.g_02600
OG0000539	Syat.g_03206	Syak.g_02601
OG0000540	Syat.g_03207	Syak.g_02602
OG0000541	Syat.g_03208	Syak.g_02603
OG0000542	Syat.g_03213	Syak.g_02606
OG0000543	Syat.g_03215	Syak.g_02608
OG0000544	Syat.g_03216	Syak.g_02609
OG0000545	Syat.g_03218	Syak.g_02611
OG0000546	Syat.g_03220	Syak.g_02613
OG0000547	Syat.g_03222	Syak.g_02615
OG0000548	Syat.g_03223	Syak.g_02616
OG0000549	Syat.g_01795	Syak.g_02622
OG0000550	Syat.g_01107	Syak.g_02626
OG0000551	Syat.g_01103	Syak.g_02631
OG0000552	Syat.g_01102	Syak.g_02632
OG0000553	Syat.g_01098	Syak.g_02636
OG0000554	Syat.g_03271	Syak.g_02641
OG0000555	Syat.g_00093	Syak.g_02657
OG0000556	Syat.g_00088	Syak.g_02661
OG0000557	Syat.g_00083	Syak.g_02663
OG0000558	Syat.g_00081	Syak.g_02666
OG0000559	Syat.g_00077	Syak.g_02670
OG0000560	Syat.g_00074	Syak.g_02672
OG0000561	Syat.g_00073	Syak.g_02673
OG0000562	Syat.g_00072	Syak.g_02674
OG0000563	Syat.g_00071	Syak.g_02675
OG0000564	Syat.g_00070	Syak.g_02676
OG0000565	Syat.g_00067	Syak.g_02679
OG0000566	Syat.g_00063	Syak.g_02683
OG0000567	Syat.g_00059	Syak.g_02687
OG0000568	Syat.g_00057	Syak.g_02690
