Orthogroup	Prar	Syaf
OG0000432	Prar.g_00139	Syaf.g_00779
OG0000433	Prar.g_00138	Syaf.g_00777
OG0000434	Prar.g_00137	Syaf.g_00776
OG0000435	Prar.g_00136	Syaf.g_00772
OG0000436	Prar.g_00131	Syaf.g_00767
OG0000437	Prar.g_00130	Syaf.g_00766
OG0000438	Prar.g_00129	Syaf.g_00765
OG0000439	Prar.g_00127	Syaf.g_00763
OG0000440	Prar.g_00126	Syaf.g_00762
OG0000441	Prar.g_00123	Syaf.g_00756
OG0000442	Prar.g_00122	Syaf.g_00743
OG0000443	Prar.g_00121	Syaf.g_00739
OG0000444	Prar.g_00116	Syaf.g_00733
OG0000445	Prar.g_00115	Syaf.g_00729
OG0000446	Prar.g_00114	Syaf.g_00728
OG0000447	Prar.g_00113	Syaf.g_00725
OG0000448	Prar.g_00112	Syaf.g_00724
OG0000449	Prar.g_00111	Syaf.g_00723
OG0000450	Prar.g_00110	Syaf.g_00717
OG0000451	Prar.g_00109	Syaf.g_00716
OG0000452	Prar.g_00106	Syaf.g_00712
OG0000453	Prar.g_00105	Syaf.g_00711
OG0000454	Prar.g_00104	Syaf.g_00710
OG0000455	Prar.g_00103	Syaf.g_00709
OG0000456	Prar.g_00102	Syaf.g_00708
OG0000457	Prar.g_00101	Syaf.g_00706
OG0000458	Prar.g_00100	Syaf.g_00705
OG0000459	Prar.g_00099	Syaf.g_00704
OG0000460	Prar.g_00092	Syaf.g_02789
OG0000461	Prar.g_00085	Syaf.g_00183
OG0000462	Prar.g_00083	Syaf.g_00186
OG0000463	Prar.g_00082	Syaf.g_00187
OG0000464	Prar.g_00081	Syaf.g_00188
OG0000465	Prar.g_00080	Syaf.g_00190
OG0000466	Prar.g_00077	Syaf.g_00194
OG0000467	Prar.g_00076	Syaf.g_00196
OG0000468	Prar.g_00334	Syaf.g_00206
OG0000469	Prar.g_00325	Syaf.g_00220
OG0000470	Prar.g_00323	Syaf.g_00222
OG0000471	Prar.g_00322	Syaf.g_00223
OG0000472	Prar.g_00321	Syaf.g_00225
OG0000473	Prar.g_00319	Syaf.g_00227
OG0000474	Prar.g_00318	Syaf.g_00228
OG0000475	Prar.g_00317	Syaf.g_00229
OG0000476	Prar.g_00316	Syaf.g_00231
OG0000477	Prar.g_00312	Syaf.g_00237
OG0000478	Prar.g_00311	Syaf.g_00238
OG0000479	Prar.g_00310	Syaf.g_00239
OG0000480	Prar.g_00305	Syaf.g_00247
OG0000481	Prar.g_00303	Syaf.g_00249
OG0000482	Prar.g_00302	Syaf.g_00250
OG0000483	Prar.g_00299	Syaf.g_00254
OG0000484	Prar.g_00298	Syaf.g_00255
OG0000485	Prar.g_00297	Syaf.g_00256
OG0000486	Prar.g_00296	Syaf.g_00257
OG0000487	Prar.g_00292	Syaf.g_00263
OG0000488	Prar.g_00289	Syaf.g_00267
OG0000489	Prar.g_00284	Syaf.g_00274
OG0000490	Prar.g_00279	Syaf.g_00284
OG0000491	Prar.g_00278	Syaf.g_00285
OG0000492	Prar.g_00276	Syaf.g_00288
OG0000493	Prar.g_00275	Syaf.g_00289
OG0000494	Prar.g_00274	Syaf.g_00290
OG0000495	Prar.g_00273	Syaf.g_00291
OG0000496	Prar.g_00272	Syaf.g_00292
OG0000497	Prar.g_00271	Syaf.g_00293
OG0000498	Prar.g_00270	Syaf.g_00294
OG0000499	Prar.g_00269	Syaf.g_00295
OG0000500	Prar.g_00268	Syaf.g_00296
OG0000501	Prar.g_00266	Syaf.g_00299
OG0000502	Prar.g_00263	Syaf.g_00319
OG0000503	Prar.g_00394	Syaf.g_00023
OG0000504	Prar.g_00395	Syaf.g_00021
OG0000505	Prar.g_00396	Syaf.g_00020
OG0000506	Prar.g_00398	Syaf.g_00018
OG0000507	Prar.g_00401	Syaf.g_00012
OG0000508	Prar.g_00405	Syaf.g_00008
OG0000509	Prar.g_00407	Syaf.g_00006
OG0000510	Prar.g_00408	Syaf.g_00005
OG0000511	Prar.g_00409	Syaf.g_00004
OG0000512	Prar.g_00411	Syaf.g_00002
OG0000513	Prar.g_00418	Syaf.g_02803
OG0000514	Prar.g_00479	Syaf.g_02796
OG0000515	Prar.g_00480	Syaf.g_02795
OG0000516	Prar.g_00481	Syaf.g_01219
OG0000517	Prar.g_00483	Syaf.g_01213
OG0000518	Prar.g_00494	Syaf.g_01230
OG0000519	Prar.g_00495	Syaf.g_01231
OG0000520	Prar.g_00496	Syaf.g_01235
OG0000521	Prar.g_00501	Syaf.g_02542
OG0000522	Prar.g_00503	Syaf.g_02538
OG0000523	Prar.g_00504	Syaf.g_02537
OG0000524	Prar.g_00510	Syaf.g_02531
OG0000525	Prar.g_00513	Syaf.g_02507
OG0000526	Prar.g_00514	Syaf.g_02504
OG0000527	Prar.g_00523	Syaf.g_02500
OG0000528	Prar.g_00528	Syaf.g_02728
