Orthogroup	Prar	Prbl
OG0000526	Prar.g_01399	Prbl.g_01801
OG0000527	Prar.g_01400	Prbl.g_01800
OG0000528	Prar.g_01401	Prbl.g_01799
OG0000529	Prar.g_01402	Prbl.g_01797
OG0000530	Prar.g_01403	Prbl.g_01796
OG0000531	Prar.g_01404	Prbl.g_01795
OG0000532	Prar.g_01405	Prbl.g_01794
OG0000533	Prar.g_01407	Prbl.g_01790
OG0000534	Prar.g_01408	Prbl.g_01789
OG0000535	Prar.g_01409	Prbl.g_01788
OG0000536	Prar.g_01410	Prbl.g_01787
OG0000537	Prar.g_01411	Prbl.g_01786
OG0000538	Prar.g_01412	Prbl.g_01785
OG0000539	Prar.g_01415	Prbl.g_01781
OG0000540	Prar.g_01416	Prbl.g_01780
OG0000541	Prar.g_01417	Prbl.g_01779
OG0000542	Prar.g_01420	Prbl.g_01775
OG0000543	Prar.g_01422	Prbl.g_01774
OG0000544	Prar.g_01423	Prbl.g_01773
OG0000545	Prar.g_01424	Prbl.g_01772
OG0000546	Prar.g_01425	Prbl.g_01766
OG0000547	Prar.g_01426	Prbl.g_01765
OG0000548	Prar.g_01427	Prbl.g_01764
OG0000549	Prar.g_01429	Prbl.g_01762
OG0000550	Prar.g_01430	Prbl.g_01761
OG0000551	Prar.g_01431	Prbl.g_01760
OG0000552	Prar.g_01432	Prbl.g_01759
OG0000553	Prar.g_01433	Prbl.g_01758
OG0000554	Prar.g_01434	Prbl.g_01757
OG0000555	Prar.g_01435	Prbl.g_01754
OG0000556	Prar.g_01436	Prbl.g_01752
OG0000557	Prar.g_01437	Prbl.g_01751
OG0000558	Prar.g_01438	Prbl.g_01750
OG0000559	Prar.g_01439	Prbl.g_01749
OG0000560	Prar.g_01440	Prbl.g_01748
OG0000561	Prar.g_01441	Prbl.g_01747
OG0000562	Prar.g_01442	Prbl.g_01746
OG0000563	Prar.g_01443	Prbl.g_01744
OG0000564	Prar.g_01444	Prbl.g_01742
OG0000565	Prar.g_01445	Prbl.g_01610
OG0000566	Prar.g_01446	Prbl.g_01611
OG0000567	Prar.g_01447	Prbl.g_01612
OG0000568	Prar.g_01448	Prbl.g_01613
OG0000569	Prar.g_01451	Prbl.g_01616
OG0000570	Prar.g_01452	Prbl.g_01617
