Orthogroup	Syai	Prau
OG0000397	Syai.g_02577	Prau.g_00130
OG0000398	Syai.g_02582	Prau.g_00132
OG0000399	Syai.g_02583	Prau.g_00133
OG0000400	Syai.g_02584	Prau.g_00134
OG0000401	Syai.g_02585	Prau.g_00135
OG0000402	Syai.g_02588	Prau.g_00137
OG0000403	Syai.g_02589	Prau.g_00138
OG0000404	Syai.g_02590	Prau.g_00139
OG0000405	Syai.g_02606	Prau.g_00143
OG0000406	Syai.g_02610	Prau.g_00148
OG0000407	Syai.g_02611	Prau.g_00149
OG0000408	Syai.g_02613	Prau.g_00151
OG0000409	Syai.g_02615	Prau.g_00153
OG0000410	Syai.g_02616	Prau.g_00154
OG0000411	Syai.g_02617	Prau.g_00155
OG0000412	Syai.g_02618	Prau.g_00156
OG0000413	Syai.g_02620	Prau.g_00157
OG0000414	Syai.g_02621	Prau.g_00158
OG0000415	Syai.g_02622	Prau.g_00159
OG0000416	Syai.g_02623	Prau.g_00160
OG0000417	Syai.g_02624	Prau.g_00161
OG0000418	Syai.g_02629	Prau.g_00166
OG0000419	Syai.g_02631	Prau.g_00168
OG0000420	Syai.g_02633	Prau.g_00169
OG0000421	Syai.g_02638	Prau.g_00174
OG0000422	Syai.g_02639	Prau.g_00175
OG0000423	Syai.g_02640	Prau.g_00176
OG0000424	Syai.g_02641	Prau.g_00177
OG0000425	Syai.g_02642	Prau.g_00178
OG0000426	Syai.g_02643	Prau.g_00179
OG0000427	Syai.g_02644	Prau.g_00180
OG0000428	Syai.g_02647	Prau.g_00182
OG0000429	Syai.g_02649	Prau.g_00183
OG0000430	Syai.g_02650	Prau.g_00184
OG0000431	Syai.g_02654	Prau.g_00186
OG0000432	Syai.g_02660	Prau.g_00189
OG0000433	Syai.g_02662	Prau.g_00190
OG0000434	Syai.g_02663	Prau.g_00191
OG0000435	Syai.g_02666	Prau.g_00192
OG0000436	Syai.g_02671	Prau.g_00197
OG0000437	Syai.g_02672	Prau.g_00198
OG0000438	Syai.g_02673	Prau.g_00199
OG0000439	Syai.g_02675	Prau.g_00201
OG0000440	Syai.g_02676	Prau.g_00202
OG0000441	Syai.g_02681	Prau.g_00205
OG0000442	Syai.g_02682	Prau.g_00206
OG0000443	Syai.g_02683	Prau.g_00207
OG0000444	Syai.g_02688	Prau.g_00212
OG0000445	Syai.g_02689	Prau.g_00213
OG0000446	Syai.g_02690	Prau.g_00214
OG0000447	Syai.g_02693	Prau.g_00215
OG0000448	Syai.g_02694	Prau.g_00216
OG0000449	Syai.g_02695	Prau.g_00217
OG0000450	Syai.g_02696	Prau.g_00218
OG0000451	Syai.g_02697	Prau.g_00219
OG0000452	Syai.g_02701	Prau.g_00222
OG0000453	Syai.g_02702	Prau.g_00223
OG0000454	Syai.g_02703	Prau.g_00224
OG0000455	Syai.g_02704	Prau.g_00225
OG0000456	Syai.g_02705	Prau.g_00226
OG0000457	Syai.g_02707	Prau.g_00227
OG0000458	Syai.g_02708	Prau.g_00228
OG0000459	Syai.g_02709	Prau.g_00229
OG0000460	Syai.g_00535	Prau.g_00236
OG0000461	Syai.g_00314	Prau.g_00244
OG0000462	Syai.g_00311	Prau.g_00246
OG0000463	Syai.g_00310	Prau.g_00247
OG0000464	Syai.g_00309	Prau.g_00248
OG0000465	Syai.g_00307	Prau.g_00249
OG0000466	Syai.g_00303	Prau.g_00252
OG0000467	Syai.g_00301	Prau.g_00253
OG0000468	Syai.g_00296	Prau.g_00255
OG0000469	Syai.g_00282	Prau.g_00264
OG0000470	Syai.g_00280	Prau.g_00266
OG0000471	Syai.g_00279	Prau.g_00267
OG0000472	Syai.g_00277	Prau.g_00268
OG0000473	Syai.g_00275	Prau.g_00270
OG0000474	Syai.g_00274	Prau.g_00271
OG0000475	Syai.g_00273	Prau.g_00272
OG0000476	Syai.g_00271	Prau.g_00273
OG0000477	Syai.g_00265	Prau.g_00277
OG0000478	Syai.g_00264	Prau.g_00278
OG0000479	Syai.g_00263	Prau.g_00279
OG0000480	Syai.g_00256	Prau.g_00284
OG0000481	Syai.g_00254	Prau.g_00286
OG0000482	Syai.g_00253	Prau.g_00287
OG0000483	Syai.g_00249	Prau.g_00290
OG0000484	Syai.g_00248	Prau.g_00291
OG0000485	Syai.g_00247	Prau.g_00292
OG0000486	Syai.g_00246	Prau.g_00293
OG0000487	Syai.g_00240	Prau.g_00297
OG0000488	Syai.g_00236	Prau.g_00300
OG0000489	Syai.g_00226	Prau.g_00305
OG0000490	Syai.g_00218	Prau.g_00310
OG0000491	Syai.g_00217	Prau.g_00311
OG0000492	Syai.g_00214	Prau.g_00313
OG0000493	Syai.g_00213	Prau.g_00314
OG0000494	Syai.g_00212	Prau.g_00315
OG0000495	Syai.g_00211	Prau.g_00316
OG0000496	Syai.g_00210	Prau.g_00317
OG0000497	Syai.g_00209	Prau.g_00318
OG0000498	Syai.g_00208	Prau.g_00319
OG0000499	Syai.g_00207	Prau.g_00320
OG0000500	Syai.g_00206	Prau.g_00321
OG0000501	Syai.g_00203	Prau.g_00323
OG0000502	Syai.g_00192	Prau.g_00326
OG0000503	Syai.g_00486	Prau.g_00336
OG0000504	Syai.g_00488	Prau.g_00337
OG0000505	Syai.g_00489	Prau.g_00338
